,CODE_HEAT,SUBWAY_STATION,SUBWAY_LINE,DISPOSAL_TYPE,CODE_ECON,KAPTD_CCCNT,WELFARE_FACILITY,KAPT_BCOMPANY,KAPT_USEDATE,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,CODE_HALL,CODE_SALE,EDUCATION_FACILITY,KAPT_CODE
0,개별난방,"신용산, 삼각지","4호선, 6호선","도포식,분무식",단일계약,56,"관리사무소, 어린이놀이터, 자전거보관소",벽산건설,2005-05-06,5~10분이내,5~10분이내,혼합식,분양,"초등학교(용산, 남정) 고등학교(용산공고)",A14001201
0,중앙난방,이촌,"4호선, 경의선, 경춘선","도포식,분무식",종합계약,359,"관리사무소, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소","삼성물산,현대건설",2009-05-15,5분이내,5분이내,계단식,분양,초등학교(신용산) 중학교(용강) 고등학교(중경),A14002501
0,중앙난방,신용산,"1호선, 4호선, 경의선",분무식,종합계약,230,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",롯데건설,2007-08-21,5~10분이내,5~10분이내,타워형,분양,초등학교(한강초) 고등학교(용산공고),A14088201
0,중앙난방,"신용산. 이촌, 용산","1호선, 4호선, 중앙선","분무식,독이식",종합계약,169,"관리사무소, 주민공동시설, 휴게시설, 커뮤니티공간, 자전거보관소",(주)대우건설,2007-08-21,5~10분이내,5~10분이내,혼합식,분양,초등학교(한강초) 고등학교(용산공고),A14001303
0,지역난방,이촌,4호선,"도포식,분무식,독이식",종합계약,114,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",LG건설,2003-04-28,5~10분이내,5~10분이내,계단식,분양,"초등학교(신용산) 중학교(용강) 고등학교(중경, 용산공고,)",A14003007
0,지역난방,이촌,"4호선, 중앙선","도포식,분무식",종합계약,55,"관리사무소, 노인정, 보육시설, 어린이놀이터",우성건설(주),1995-12-23,5~10분이내,5~10분이내,혼합식,분양,"초등학교(신용산) 중학교(용강) 고등학교(중경, 용산공고,)",A14003001
0,지역난방,-,"1호선, 4호선, 중앙선",도포식,종합계약,223,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",삼성물산,2015-07-30,5분이내,10~15분이내,계단식,분양,초등학교() 중학교(),A10027908
0,지역난방,"신용산, 용산, 이촌, 신용산, 용산, 이촌","1호선, 1호선, 4호선, 중앙선",도포식,종합계약,32,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",성원건설,2001-08-07,5분이내,15~20분이내,계단식,분양,"초등학교(신용산) 중학교(용강) 고등학교(중경, 용산공고,)",A14072901
0,지역난방,이촌,"4호선, 중앙선","도포식,분무식",단일계약,108,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",코오롤건설,1999-11-01,5~10분이내,5~10분이내,혼합식,분양,"초등학교(신용산) 중학교(용강) 고등학교(중경, 용산공고,)",A14072702
0,지역난방,이촌,"4호선, 중앙선","도포식,분무식",단일계약,142,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",건영,1998-01-08,5~10분이내,5~10분이내,혼합식,분양,"초등학교(신용산, 한강) 중학교(용강) 고등학교(중경, 용산공고,)",A14003106
