월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2006-10,연면적별,용도별,기타,1005431,1005431,1005431,0,0,0
2006-11,동수별,합계,합계,15614,15614,15614,0,0,0
2006-11,동수별,구조별,철근및철골조,13422,13422,13422,0,0,0
2006-11,동수별,구조별,조적조,1522,1522,1522,0,0,0
2006-11,동수별,구조별,목조,559,559,559,0,0,0
2006-11,동수별,구조별,기타,111,111,111,0,0,0
2006-11,동수별,용도별,주거용,4562,4562,4562,0,0,0
2006-11,동수별,용도별,상업용,4146,4146,4146,0,0,0
2006-11,동수별,용도별,공업용,2291,2291,2291,0,0,0
2006-11,동수별,용도별,교육및사회,854,854,854,0,0,0
2006-11,동수별,용도별,기타,3791,3791,3791,0,0,0
2006-11,연면적별,합계,합계,8422776,8422776,8422776,0,0,0
2006-11,연면적별,구조별,철근및철골조,8263425,8263425,8263425,0,0,0
2006-11,연면적별,구조별,조적조,109162,109162,109162,0,0,0
2006-11,연면적별,구조별,목조,43488,43488,43488,0,0,0
2006-11,연면적별,구조별,기타,6701,6701,6701,0,0,0
2006-11,연면적별,용도별,주거용,3066045,3066045,3066045,0,0,0
2006-11,연면적별,용도별,상업용,1814176,1814176,1814176,0,0,0
2006-11,연면적별,용도별,공업용,1434111,1434111,1434111,0,0,0
2006-11,연면적별,용도별,교육및사회,616650,616650,616650,0,0,0
2006-11,연면적별,용도별,기타,1491794,1491794,1491794,0,0,0
2006-12,동수별,합계,합계,12342,12342,12342,0,0,0
2006-12,동수별,구조별,철근및철골조,10673,10673,10673,0,0,0
2006-12,동수별,구조별,조적조,1115,1115,1115,0,0,0
2006-12,동수별,구조별,목조,453,453,453,0,0,0
2006-12,동수별,구조별,기타,101,101,101,0,0,0
2006-12,동수별,용도별,주거용,3311,3311,3311,0,0,0
2006-12,동수별,용도별,상업용,3235,3235,3235,0,0,0
2006-12,동수별,용도별,공업용,2185,2185,2185,0,0,0
2006-12,동수별,용도별,교육및사회,661,661,661,0,0,0
2006-12,동수별,용도별,기타,2950,2950,2950,0,0,0
2006-12,연면적별,합계,합계,7271402,7271402,7271402,0,0,0
2006-12,연면적별,구조별,철근및철골조,7159114,7159114,7159114,0,0,0
2006-12,연면적별,구조별,조적조,69222,69222,69222,0,0,0
2006-12,연면적별,구조별,목조,37662,37662,37662,0,0,0
2006-12,연면적별,구조별,기타,5404,5404,5404,0,0,0
2006-12,연면적별,용도별,주거용,2661639,2661639,2661639,0,0,0
2006-12,연면적별,용도별,상업용,1569805,1569805,1569805,0,0,0
2006-12,연면적별,용도별,공업용,1305845,1305845,1305845,0,0,0
2006-12,연면적별,용도별,교육및사회,564852,564852,564852,0,0,0
2006-12,연면적별,용도별,기타,1169261,1169261,1169261,0,0,0
2007-01,동수별,합계,합계,10038,10038,10038,0,0,0
2007-01,동수별,구조별,철근및철골조,8735,8735,8735,0,0,0
2007-01,동수별,구조별,조적조,864,864,864,0,0,0
2007-01,동수별,구조별,목조,384,384,384,0,0,0
2007-01,동수별,구조별,기타,55,55,55,0,0,0
2007-01,동수별,용도별,주거용,2839,2839,2839,0,0,0
2007-01,동수별,용도별,상업용,2991,2991,2991,0,0,0
2007-01,동수별,용도별,공업용,1775,1775,1775,0,0,0
2007-01,동수별,용도별,교육및사회,530,530,530,0,0,0
2007-01,동수별,용도별,기타,1903,1903,1903,0,0,0
2007-01,연면적별,합계,합계,4995444,4995444,4995444,0,0,0
2007-01,연면적별,구조별,철근및철골조,4900201,4900201,4900201,0,0,0
2007-01,연면적별,구조별,조적조,58543,58543,58543,0,0,0
2007-01,연면적별,구조별,목조,33747,33747,33747,0,0,0
2007-01,연면적별,구조별,기타,2953,2953,2953,0,0,0
2007-01,연면적별,용도별,주거용,1288508,1288508,1288508,0,0,0
2007-01,연면적별,용도별,상업용,1446985,1446985,1446985,0,0,0
2007-01,연면적별,용도별,공업용,1081863,1081863,1081863,0,0,0
2007-01,연면적별,용도별,교육및사회,499745,499745,499745,0,0,0
2007-01,연면적별,용도별,기타,678343,678343,678343,0,0,0
2007-02,동수별,합계,합계,10031,10031,10031,0,0,0
2007-02,동수별,구조별,철근및철골조,8781,8781,8781,0,0,0
2007-02,동수별,구조별,조적조,832,832,832,0,0,0
2007-02,동수별,구조별,목조,337,337,337,0,0,0
2007-02,동수별,구조별,기타,81,81,81,0,0,0
2007-02,동수별,용도별,주거용,3087,3087,3087,0,0,0
2007-02,동수별,용도별,상업용,3118,3118,3118,0,0,0
2007-02,동수별,용도별,공업용,1595,1595,1595,0,0,0
2007-02,동수별,용도별,교육및사회,511,511,511,0,0,0
2007-02,동수별,용도별,기타,1720,1720,1720,0,0,0
2007-02,연면적별,합계,합계,6237816,6237816,6237816,0,0,0
2007-02,연면적별,구조별,철근및철골조,6140836,6140836,6140836,0,0,0
2007-02,연면적별,구조별,조적조,63392,63392,63392,0,0,0
2007-02,연면적별,구조별,목조,30203,30203,30203,0,0,0
2007-02,연면적별,구조별,기타,3385,3385,3385,0,0,0
2007-02,연면적별,용도별,주거용,1766833,1766833,1766833,0,0,0
2007-02,연면적별,용도별,상업용,1946103,1946103,1946103,0,0,0
2007-02,연면적별,용도별,공업용,1333596,1333596,1333596,0,0,0
2007-02,연면적별,용도별,교육및사회,469848,469848,469848,0,0,0
2007-02,연면적별,용도별,기타,721436,721436,721436,0,0,0
2007-03,동수별,합계,합계,17263,17263,17263,0,0,0
2007-03,동수별,구조별,철근및철골조,14651,14651,14651,0,0,0
2007-03,동수별,구조별,조적조,1824,1824,1824,0,0,0
2007-03,동수별,구조별,목조,676,676,676,0,0,0
2007-03,동수별,구조별,기타,112,112,112,0,0,0
2007-03,동수별,용도별,주거용,6426,6426,6426,0,0,0
2007-03,동수별,용도별,상업용,4719,4719,4719,0,0,0
2007-03,동수별,용도별,공업용,2229,2229,2229,0,0,0
2007-03,동수별,용도별,교육및사회,892,892,892,0,0,0
2007-03,동수별,용도별,기타,2997,2997,2997,0,0,0
2007-03,연면적별,합계,합계,7844163,7844163,7844163,0,0,0
2007-03,연면적별,구조별,철근및철골조,7638729,7638729,7638729,0,0,0
2007-03,연면적별,구조별,조적조,140240,140240,140240,0,0,0
2007-03,연면적별,구조별,목조,59429,59429,59429,0,0,0
2007-03,연면적별,구조별,기타,5765,5765,5765,0,0,0
2007-03,연면적별,용도별,주거용,2378402,2378402,2378402,0,0,0
2007-03,연면적별,용도별,상업용,2454944,2454944,2454944,0,0,0
2007-03,연면적별,용도별,공업용,1355061,1355061,1355061,0,0,0
2007-03,연면적별,용도별,교육및사회,765507,765507,765507,0,0,0
2007-03,연면적별,용도별,기타,890249,890249,890249,0,0,0
2007-04,동수별,합계,합계,18335,18335,18335,0,0,0
2007-04,동수별,구조별,철근및철골조,15467,15467,15467,0,0,0
2007-04,동수별,구조별,조적조,1968,1968,1968,0,0,0
2007-04,동수별,구조별,목조,754,754,754,0,0,0
2007-04,동수별,구조별,기타,146,146,146,0,0,0
2007-04,동수별,용도별,주거용,6604,6604,6604,0,0,0
2007-04,동수별,용도별,상업용,4905,4905,4905,0,0,0
2007-04,동수별,용도별,공업용,2158,2158,2158,0,0,0
2007-04,동수별,용도별,교육및사회,756,756,756,0,0,0
2007-04,동수별,용도별,기타,3912,3912,3912,0,0,0
2007-04,연면적별,합계,합계,10143828,10143828,10143828,0,0,0
2007-04,연면적별,구조별,철근및철골조,9922527,9922527,9922527,0,0,0
2007-04,연면적별,구조별,조적조,148540,148540,148540,0,0,0
2007-04,연면적별,구조별,목조,62073,62073,62073,0,0,0
2007-04,연면적별,구조별,기타,10688,10688,10688,0,0,0
2007-04,연면적별,용도별,주거용,3329549,3329549,3329549,0,0,0
2007-04,연면적별,용도별,상업용,2868172,2868172,2868172,0,0,0
2007-04,연면적별,용도별,공업용,1504430,1504430,1504430,0,0,0
