기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2010	성북구	월곡2동	3,412	3,979	995	1,418	1,455	1,398	962	1,163
2010	성북구	장위1동	3,237	3,828	975	1,074	1,489	1,644	773	1,110
2010	성북구	장위2동	2,767	3,435	1,030	1,127	999	1,283	738	1,025
2010	성북구	장위3동	2,396	3,032	654	624	1,140	1,503	602	905
2010	성북구	성북동	3,174	3,578	789	1,215	1,410	1,383	975	980
2010	성북구	삼선동	4,545	4,769	1,406	1,256	1,800	2,092	1,339	1,421
2010	성북구	동선동	3,806	3,504	1,334	1,198	1,224	1,330	1,248	976
2010	성북구	종암동	8,966	5,312	2,334	1,129	4,394	2,331	2,238	1,852
2010	성북구	석관동	4,699	5,501	708	805	2,585	2,823	1,406	1,873
2010	강북구	소계	57,460	58,668	18,785	18,785	25,668	23,660	13,007	16,223
2010	강북구	번1동	3,787	4,186	969	1,114	1,747	1,856	1,071	1,216
2010	강북구	번2동	2,777	3,108	1,043	973	1,120	1,285	614	850
2010	강북구	번3동	2,210	2,576	498	504	1,156	1,227	556	845
2010	강북구	수유1동	3,767	4,128	1,584	1,590	1,323	1,470	860	1,068
2010	강북구	수유2동	3,495	3,925	1,310	1,190	1,405	1,625	780	1,110
2010	강북구	수유3동	4,371	4,973	1,431	1,639	1,814	1,940	1,126	1,394
2010	강북구	삼양동	5,068	6,085	1,830	2,255	2,107	2,187	1,131	1,643
2010	강북구	미아동	4,186	5,017	1,601	2,146	1,603	1,708	982	1,163
2010	강북구	송중동	4,847	5,897	1,335	1,523	2,307	2,785	1,205	1,589
2010	강북구	송천동	5,373	5,869	1,738	2,171	2,458	2,211	1,177	1,487
2010	강북구	삼각산동	9,341	3,552	2,479	668	5,323	1,761	1,539	1,123
2010	강북구	우이동	3,302	3,824	981	1,029	1,467	1,711	854	1,084
2010	강북구	인수동	4,936	5,528	1,986	1,983	1,838	1,894	1,112	1,651
2010	도봉구	소계	53,589	61,207	17,662	17,662	21,366	23,646	14,561	19,899
2010	도봉구	쌍문1동	3,304	3,649	686	800	1,789	1,800	829	1,049
2010	도봉구	쌍문2동	3,496	3,727	1,542	1,440	1,177	1,176	777	1,111
2010	도봉구	쌍문3동	2,932	3,447	943	1,109	1,240	1,398	749	940
2010	도봉구	쌍문4동	3,178	3,633	1,400	1,415	1,032	1,237	746	981
2010	도봉구	방학1동	5,083	5,808	2,028	2,075	1,630	1,905	1,425	1,828
2010	도봉구	방학2동	3,765	4,280	1,694	1,720	1,189	1,199	882	1,361
2010	도봉구	방학3동	3,982	4,423	1,597	1,383	1,391	1,697	994	1,343
2010	도봉구	창1동	4,123	4,862	1,261	1,337	1,637	1,916	1,225	1,609
2010	도봉구	창2동	4,751	5,215	1,415	1,263	2,204	2,238	1,132	1,714
2010	도봉구	창3동	2,323	2,758	568	677	1,145	1,237	610	844
2010	도봉구	창4동	4,130	4,586	947	769	1,976	2,203	1,207	1,614
2010	도봉구	창5동	3,988	4,610	1,285	1,189	1,645	1,955	1,058	1,466
2010	도봉구	도봉1동	3,720	4,390	1,087	1,190	1,352	1,443	1,281	1,757
2010	도봉구	도봉2동	4,814	5,819	1,209	1,295	1,959	2,242	1,646	2,282
2010	노원구	소계	84,687	92,813	26,361	26,361	32,611	33,218	25,715	33,234
2010	노원구	월계1동	3,196	4,093	607	754	1,474	1,856	1,115	1,483
2010	노원구	월계2동	3,461	3,972	575	621	1,906	1,863	980	1,488
2010	노원구	월계3동	4,230	5,357	918	1,169	2,057	2,258	1,255	1,930
2010	노원구	공릉2동	6,298	7,373	1,375	1,333	2,403	2,733	2,520	3,307
2010	노원구	하계1동	4,154	4,498	1,425	1,228	1,701	1,807	1,028	1,463
2010	노원구	하계2동	3,190	3,581	1,170	1,143	1,192	1,310	828	1,128
2010	노원구	중계본동	3,841	4,268	1,293	1,361	1,386	1,574	1,162	1,333
2010	노원구	중계1동	4,281	4,698	1,445	1,858	1,519	1,529	1,317	1,311
2010	노원구	중계4동	3,322	3,707	1,491	1,364	937	1,129	894	1,214
2010	노원구	상계1동	7,969	5,656	2,610	1,033	2,966	2,196	2,393	2,427
2010	노원구	상계2동	4,134	3,853	2,061	1,571	1,091	1,137	982	1,145
2010	노원구	상계5동	3,930	4,391	1,778	1,838	1,124	1,143	1,028	1,410
2010	노원구	상계8동	4,998	5,067	1,211	1,400	2,270	1,637	1,517	2,030
2010	노원구	상계9동	3,628	4,175	1,422	1,500	1,186	1,220	1,020	1,455
2010	노원구	상계10동	3,356	3,894	1,132	1,327	1,202	1,253	1,022	1,314
2010	노원구	공릉1.3동	5,685	6,503	1,382	1,551	2,342	2,471	1,961	2,481
2010	노원구	상계3.4동	4,423	5,782	1,474	1,783	1,397	1,677	1,552	2,322
2010	노원구	상계6.7동	5,514	6,143	1,510	1,783	2,267	2,202	1,737	2,158
2010	노원구	중계2.3동	5,077	5,802	1,482	1,744	2,191	2,223	1,404	1,835
2010	은평구	소계	99,486	87,400	37,527	37,527	36,710	21,492	25,249	28,381
2010	은평구	녹번동	6,117	7,038	2,217	2,893	2,172	1,896	1,728	2,249
2010	은평구	불광1동	9,445	7,206	3,169	3,275	3,727	1,696	2,549	2,235
2010	은평구	갈현1동	4,546	5,184	1,806	2,308	1,258	1,036	1,482	1,840
2010	은평구	갈현2동	5,104	5,379	2,451	2,592	1,234	994	1,419	1,793
2010	은평구	구산동	5,447	5,793	2,475	2,630	1,537	1,130	1,435	2,033
2010	은평구	대조동	5,837	6,283	2,562	2,999	1,548	1,357	1,727	1,927
2010	은평구	응암1동	5,498	6,957	2,243	3,061	1,770	1,722	1,485	2,174
2010	은평구	응암2동	2,811	3,779	1,274	1,740	866	995	671	1,044
2010	은평구	신사1동	4,670	4,974	2,184	2,288	1,459	1,194	1,027	1,492
2010	은평구	신사2동	3,489	4,096	1,418	1,695	1,138	1,052	933	1,349
2010	은평구	증산동	3,014	3,685	763	1,070	1,374	1,426	877	1,189
2010	은평구	수색동	2,466	3,113	446	715	1,125	1,091	895	1,307
2010	은평구	진관동	22,949	3,621	6,883	822	11,852	1,205	4,214	1,594
2010	은평구	불광2동	5,016	6,241	1,869	3,167	1,406	1,125	1,741	1,949
2010	은평구	응암3동	4,762	5,201	1,858	2,042	1,758	1,706	1,146	1,453
2010	은평구	역촌동	8,315	8,850	3,909	4,230	2,486	1,867	1,920	2,753
2010	서대문구	소계	50,156	61,119	12,894	12,894	21,373	29,348	15,889	18,877
2010	서대문구	천연동	3,547	3,430	735	537	1,797	1,839	1,015	1,054
2010	서대문구	홍제1동	4,288	4,773	1,298	1,044	1,775	2,210	1,215	1,519
2010	서대문구	홍제3동	2,824	3,137	901	785	1,076	1,373	847	979
2010	서대문구	홍제2동	2,634	2,794	738	578	1,188	1,410	708	806
2010	서대문구	홍은1동	2,873	4,627	778	1,229	1,252	1,987	843	1,411
2010	서대문구	홍은2동	5,052	5,319	1,736	1,445	2,079	2,253	1,237	1,621
2010	서대문구	남가좌1동	606	930	187	270	278	414	141	246
2010	서대문구	남가좌2동	4,295	4,906	1,483	1,308	1,530	2,088	1,282	1,510
2010	서대문구	북가좌1동	1,440	1,786	336	394	701	839	403	553
2010	서대문구	북가좌2동	5,047	5,446	1,274	984	2,450	2,754	1,323	1,708
2010	서대문구	충현동	3,823	4,429	1,092	838	1,545	2,186	1,186	1,405
2010	서대문구	북아현동	2,018	6,769	359	1,430	920	3,882	739	1,457
2010	서대문구	신촌동	4,887	5,329	574	648	1,951	2,675	2,362	2,006
2010	서대문구	연희동	6,822	7,444	1,403	1,404	2,831	3,438	2,588	2,602
2010	마포구	소계	75,393	76,441	20,885	20,885	33,130	30,725	21,378	24,831
2010	마포구	용강동	3,417	4,091	1,013	1,093	1,345	1,785	1,059	1,213
2010	마포구	대흥동	3,315	4,927	709	1,511	1,316	1,980	1,290	1,436
2010	마포구	염리동	2,670	3,123	806	817	1,010	1,263	854	1,043
2010	마포구	신수동	4,273	4,595	1,480	1,410	1,517	1,692	1,276	1,493
2010	마포구	서교동	6,831	7,909	1,892	2,476	2,405	2,853	2,534	2,580
2010	마포구	합정동	4,167	4,874	1,222	1,711	1,574	1,626	1,371	1,537
2010	마포구	망원1동	4,549	4,911	1,775	1,856	1,504	1,469	1,270	1,586
2010	마포구	망원2동	3,556	4,108	1,472	1,412	1,141	1,308	943	1,388
2010	마포구	연남동	3,878	4,344	1,088	1,298	1,645	1,701	1,145	1,345
2010	마포구	성산1동	3,941	4,188	1,701	1,555	1,220	1,353	1,020	1,280
2010	마포구	성산2동	5,243	6,121	1,229	1,348	2,334	2,515	1,680	2,258
2010	마포구	상암동	11,381	3,993	2,870	505	6,966	2,005	1,545	1,483
2010	마포구	도화동	3,652	3,955	615	670	1,929	1,980	1,108	1,305
