기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.4/4	강남구	논현2동	11,305	22,304	10,451	11,853	22,007	10,313	11,694	297	138	159	1.95	2,913
2018.4/4	강남구	삼성1동	5,909	15,252	7,676	7,576	14,899	7,449	7,450	353	227	126	2.52	2,014
2018.4/4	강남구	삼성2동	13,221	30,492	14,537	15,955	30,252	14,397	15,855	240	140	100	2.29	3,145
2018.4/4	강남구	대치1동	7,464	25,590	12,858	12,732	25,526	12,822	12,704	64	36	28	3.42	2,199
2018.4/4	강남구	대치4동	10,207	21,265	10,038	11,227	20,965	9,891	11,074	300	147	153	2.05	1,856
2018.4/4	강남구	역삼1동	23,113	36,861	17,810	19,051	35,865	17,318	18,547	996	492	504	1.55	3,400
2018.4/4	강남구	역삼2동	14,974	36,822	17,460	19,362	36,477	17,251	19,226	345	209	136	2.44	3,356
2018.4/4	강남구	도곡1동	8,529	22,844	10,758	12,086	22,675	10,671	12,004	169	87	82	2.66	2,640
2018.4/4	강남구	도곡2동	11,976	34,704	16,102	18,602	34,586	16,031	18,555	118	71	47	2.89	4,194
2018.4/4	강남구	개포1동	3,082	7,800	3,782	4,018	7,771	3,767	4,004	29	15	14	2.52	1,535
2018.4/4	강남구	개포4동	7,862	18,920	9,268	9,652	18,773	9,199	9,574	147	69	78	2.39	2,117
2018.4/4	강남구	일원본동	8,295	24,781	12,153	12,628	24,750	12,143	12,607	31	10	21	2.98	2,498
2018.4/4	강남구	일원1동	7,621	17,136	8,382	8,754	16,940	8,313	8,627	196	69	127	2.22	2,882
2018.4/4	강남구	일원2동	6,719	16,593	7,924	8,669	16,527	7,894	8,633	66	30	36	2.46	2,681
2018.4/4	강남구	수서동	7,840	16,421	7,554	8,867	16,336	7,525	8,811	85	29	56	2.08	3,813
2018.4/4	강남구	세곡동	17,639	45,445	21,701	23,744	45,241	21,607	23,634	204	94	110	2.56	5,759
2018.4/4	강남구	압구정동	10,745	28,146	12,950	15,196	27,994	12,884	15,110	152	66	86	2.61	4,689
2018.4/4	강남구	청담동	12,392	30,185	14,205	15,980	29,936	14,066	15,870	249	139	110	2.42	3,852
2018.4/4	강남구	대치2동	13,282	40,163	20,421	19,742	39,991	20,321	19,670	172	100	72	3.01	4,180
2018.4/4	강남구	개포2동	4,900	13,855	6,732	7,123	13,829	6,723	7,106	26	9	17	2.82	1,800
2018.4/4	송파구	소계	270,866	673,507	326,849	346,658	666,635	323,526	343,109	6,872	3,323	3,549	2.46	81,364
2018.4/4	송파구	풍납1동	6,809	16,380	8,143	8,237	15,440	7,665	7,775	940	478	462	2.27	2,637
2018.4/4	송파구	풍납2동	10,456	25,149	12,015	13,134	24,939	11,920	13,019	210	95	115	2.39	3,091
