기간	자치구	동	성별	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2005	성북구	장위제1동	소계	4,732	4,801	1,767	1,398	1,866	2,114	1,099	1,289
2005	성북구	장위제2동	소계	4,231	4,479	1,722	1,575	1,511	1,673	998	1,231
2005	성북구	장위제3동	소계	2,849	3,291	828	865	1,274	1,489	747	937
2005	성북구	석관제1동	소계	4,099	4,931	789	752	2,227	2,688	1,083	1,491
2005	성북구	석관제2동	소계	1,882	2,457	602	806	772	1,003	508	648
2005	강북구	계	계	59,386	67,685	20,131	20,131	25,298	29,832	13,957	17,722
2005	강북구	미아제1동	소계	3,243	3,249	1,217	1,061	1,397	1,335	629	853
2005	강북구	미아제2동	소계	2,546	3,553	1,052	1,672	891	1,151	603	730
2005	강북구	미아제3동	소계	4,666	5,474	1,912	1,926	1,746	2,253	1,008	1,295
2005	강북구	미아제4동	소계	3,254	3,701	683	805	1,801	1,983	770	913
2005	강북구	미아제5동	소계	2,449	3,093	677	844	1,112	1,509	660	740
2005	강북구	미아제6.7동	소계	5,554	5,510	1,589	1,184	2,653	2,755	1,312	1,571
2005	강북구	미아제8동	소계	3,154	3,514	1,493	1,419	987	1,275	674	820
2005	강북구	미아제9동	소계	2,800	3,336	978	1,179	1,160	1,294	662	863
2005	강북구	번제1동	소계	3,768	4,188	974	960	1,679	2,036	1,115	1,192
2005	강북구	번제2동	소계	3,020	3,806	993	1,191	1,291	1,561	736	1,054
2005	강북구	번제3동	소계	3,101	3,154	864	565	1,610	1,635	627	954
2005	강북구	수유제1동	소계	3,755	4,369	1,386	1,487	1,359	1,682	1,010	1,200
2005	강북구	수유제2동	소계	3,975	4,692	1,427	1,153	1,636	2,254	912	1,285
2005	강북구	수유제3동	소계	4,357	5,173	1,366	1,413	1,980	2,340	1,011	1,420
2005	강북구	수유제4동	소계	4,032	4,314	1,186	1,068	1,909	2,135	937	1,111
2005	강북구	수유제5동	소계	2,889	3,406	1,151	1,152	1,059	1,319	679	935
2005	강북구	수유제6동	소계	2,823	3,153	1,183	1,052	1,028	1,315	612	786
2005	도봉구	계	계	68,111	70,141	21,225	21,225	29,970	27,487	16,916	21,429
2005	도봉구	쌍문제1동	소계	4,098	4,076	791	829	2,344	2,016	963	1,231
2005	도봉구	쌍문제2동	소계	4,226	4,507	1,619	1,760	1,630	1,466	977	1,281
2005	도봉구	쌍문제3동	소계	3,192	3,841	859	1,150	1,569	1,587	764	1,104
2005	도봉구	쌍문제4동	소계	4,302	4,446	1,873	1,638	1,541	1,678	888	1,130
2005	도봉구	방학제1동	소계	6,356	6,533	2,245	2,345	2,486	2,203	1,625	1,985
2005	도봉구	방학제2동	소계	4,253	4,942	1,488	1,977	1,724	1,483	1,041	1,482
2005	도봉구	방학제3동	소계	3,891	3,593	1,737	1,329	1,388	1,266	766	998
2005	도봉구	방학제4동	소계	2,288	2,207	1,029	839	867	886	392	482
2005	도봉구	창제1동	소계	5,237	6,031	1,653	1,688	2,257	2,658	1,327	1,685
2005	도봉구	창제2동	소계	5,463	5,322	1,623	1,380	2,521	2,237	1,319	1,705
2005	도봉구	창제3동	소계	2,940	3,086	637	785	1,590	1,441	713	860
2005	도봉구	창제4동	소계	4,958	5,741	1,089	1,288	2,347	2,578	1,522	1,875
2005	도봉구	창제5동	소계	5,441	4,909	1,697	1,454	2,483	1,920	1,261	1,535
2005	도봉구	도봉제1동	소계	4,464	5,336	1,149	1,482	1,825	1,789	1,490	2,065
2005	도봉구	도봉제2동	소계	7,002	5,571	1,736	1,281	3,398	2,279	1,868	2,011
2005	노원구	계	계	108,949	117,743	39,110	39,110	41,176	42,580	28,663	36,053
2005	노원구	월계제1동	소계	3,380	3,348	893	835	1,654	1,498	833	1,015
2005	노원구	월계제2동	소계	2,851	3,582	503	627	1,669	1,756	679	1,199
2005	노원구	월계제3동	소계	4,375	5,115	968	1,328	2,192	2,182	1,215	1,605
2005	노원구	월계제4동	소계	4,406	3,466	1,155	808	2,182	1,554	1,069	1,104
2005	노원구	공릉제1동	소계	3,999	4,243	1,153	1,285	1,675	1,572	1,171	1,386
2005	노원구	공릉제2동	소계	8,175	8,738	1,948	1,878	3,200	3,362	3,027	3,498
2005	노원구	공릉제3동	소계	3,564	3,998	1,114	1,314	1,471	1,380	979	1,304
2005	노원구	하계제1동	소계	5,183	5,537	1,833	1,813	2,095	2,258	1,255	1,466
2005	노원구	하계제2동	소계	4,179	4,744	1,692	1,620	1,504	1,792	983	1,332
2005	노원구	중계본동	소계	5,725	4,451	2,661	1,500	1,813	1,584	1,251	1,367
2005	노원구	중계제1동	소계	5,238	5,497	2,296	2,435	1,703	1,811	1,239	1,251
2005	노원구	중계제2동	소계	3,650	3,288	1,314	1,166	1,409	1,123	927	999
2005	노원구	중계제3동	소계	3,230	3,855	959	1,271	1,499	1,527	772	1,057
2005	노원구	중계제4동	소계	4,100	4,371	1,750	1,776	1,369	1,342	981	1,253
2005	노원구	상계제1동	소계	6,954	8,675	2,394	2,184	2,412	3,502	2,148	2,989
2005	노원구	상계제2동	소계	5,718	4,633	3,299	1,902	1,313	1,310	1,106	1,421
2005	노원구	상계제3동	소계	4,971	5,499	2,492	2,230	1,322	1,598	1,157	1,671
2005	노원구	상계제4동	소계	2,347	3,147	835	1,277	786	856	726	1,014
2005	노원구	상계제5동	소계	4,512	5,405	2,250	2,388	1,212	1,511	1,050	1,506
2005	노원구	상계제6동	소계	3,783	4,472	1,113	1,395	1,653	1,650	1,017	1,427
2005	노원구	상계제7동	소계	3,646	4,157	1,263	1,620	1,277	1,390	1,106	1,147
2005	노원구	상계제8동	소계	5,673	6,744	1,474	2,359	2,506	2,297	1,693	2,088
2005	노원구	상계제9동	소계	4,675	5,594	2,041	2,251	1,585	1,790	1,049	1,553
2005	노원구	상계제10동	소계	4,615	5,184	1,710	1,848	1,675	1,935	1,230	1,401
2005	은평구	계	계	87,124	96,367	36,453	36,453	25,633	27,211	25,038	32,703
2005	은평구	녹번동	소계	6,596	7,185	2,292	2,409	2,365	2,462	1,939	2,314
2005	은평구	불광제1동	소계	4,835	5,782	1,763	1,895	1,480	1,869	1,592	2,018
2005	은평구	불광제2동	소계	4,081	4,216	2,024	1,707	892	986	1,165	1,523
2005	은평구	불광제3동	소계	4,652	4,536	2,153	1,710	1,094	1,160	1,405	1,666
2005	은평구	갈현제1동	소계	4,782	5,102	2,150	1,651	1,051	1,281	1,581	2,170
2005	은평구	갈현제2동	소계	5,685	5,473	2,843	2,055	1,240	1,369	1,602	2,049
2005	은평구	구산동	소계	6,343	6,028	2,823	2,281	1,679	1,682	1,841	2,065
2005	은평구	대조동	소계	5,687	6,220	2,588	2,393	1,422	1,584	1,677	2,243
2005	은평구	응암제1동	소계	6,084	5,976	2,288	2,108	2,009	1,921	1,787	1,947
2005	은평구	응암제2동	소계	3,269	3,702	1,241	1,524	1,095	1,036	933	1,142
2005	은평구	응암제3동	소계	4,049	4,131	1,883	1,794	1,160	1,109	1,006	1,228
2005	은평구	응암제4동	소계	3,148	3,960	1,150	1,429	1,212	1,404	786	1,127
2005	은평구	역촌제1동	소계	4,976	5,009	2,375	2,160	1,379	1,315	1,222	1,534
2005	은평구	역촌제2동	소계	4,775	4,353	2,501	1,961	1,225	1,119	1,049	1,273
2005	은평구	신사제1동	소계	4,768	4,972	2,275	2,027	1,420	1,430	1,073	1,515
2005	은평구	신사제2동	소계	4,251	4,446	1,732	1,628	1,415	1,401	1,104	1,417
2005	은평구	증산동	소계	3,908	3,881	1,139	959	1,647	1,555	1,122	1,367
2005	은평구	수색동	소계	3,317	3,532	702	668	1,318	1,327	1,297	1,537
2005	은평구	진관내동	소계	830	2,360	233	966	223	355	374	1,039
2005	은평구	진관외동	소계	1,088	5,503	298	3,128	307	846	483	1,529
2005	서대문구	계	계	65,711	69,775	18,214	18,214	27,911	30,318	19,586	21,243
2005	서대문구	충정로동	소계	2,175	2,207	473	559	1,003	1,090	699	558
2005	서대문구	천연동	소계	3,247	3,534	534	576	1,749	1,920	964	1,038
2005	서대문구	북아현제1동	소계	2,154	2,302	499	526	954	1,107	701	669
2005	서대문구	북아현제2동	소계	2,062	2,303	569	546	875	1,058	618	699
2005	서대문구	북아현제3동	소계	2,574	2,833	791	777	1,076	1,219	707	837
2005	서대문구	대신동	소계	2,147	2,390	416	549	825	1,154	906	687
2005	서대문구	창천동	소계	3,547	3,396	419	416	1,525	1,848	1,603	1,132
2005	서대문구	연희제1동	소계	2,936	3,018	789	902	1,208	1,193	939	923
2005	서대문구	연희제2동	소계	2,175	2,210	874	819	747	751	554	640
2005	서대문구	연희제3동	소계	4,151	4,048	1,063	1,059	1,531	1,771	1,557	1,218
2005	서대문구	홍제제1동	소계	2,826	3,085	1,009	974	1,080	1,199	737	912
