기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2016	은평구	갈현1동	3,978	3,963	1,910	1,532	990	750	1,078	1,681
2016	은평구	갈현2동	5,099	4,650	2,804	2,063	1,176	965	1,119	1,622
2016	은평구	구산동	4,859	4,917	2,527	2,114	1,241	1,008	1,091	1,795
2016	은평구	대조동	5,839	5,771	2,746	2,476	1,524	1,296	1,569	1,999
2016	은평구	응암1동	4,163	9,237	2,006	4,891	1,175	1,973	982	2,373
2016	은평구	응암2동	2,970	6,346	1,125	3,306	1,184	1,555	661	1,485
2016	은평구	신사1동	4,371	4,557	2,225	2,057	1,297	1,064	849	1,436
2016	은평구	신사2동	3,375	3,417	1,405	1,372	1,225	935	745	1,110
2016	은평구	증산동	2,628	3,163	830	901	1,177	1,197	621	1,065
2016	은평구	수색동	1,745	2,433	395	581	745	838	605	1,014
2016	은평구	진관동	5,784	5,722	1,398	874	2,248	1,884	2,138	2,964
2016	은평구	불광2동	4,959	4,471	2,368	1,702	1,333	924	1,258	1,845
2016	은평구	응암3동	4,657	4,750	1,807	1,790	1,866	1,517	984	1,443
2016	은평구	역촌동	8,399	7,925	4,545	3,558	2,270	1,691	1,584	2,676
2016	서대문구	소계	55,152	54,236	14,917	14,917	24,253	21,666	15,982	17,653
2016	서대문구	천연동	2,636	2,943	429	480	1,377	1,425	830	1,038
2016	서대문구	홍제1동	4,011	3,538	1,282	991	1,798	1,357	931	1,190
2016	서대문구	홍제3동	2,484	2,707	939	851	972	1,021	573	835
2016	서대문구	홍제2동	1,922	2,168	607	571	849	900	466	697
2016	서대문구	홍은1동	2,469	3,489	712	1,083	1,067	1,281	690	1,125
2016	서대문구	홍은2동	4,796	4,610	1,938	1,441	1,758	1,626	1,100	1,543
2016	서대문구	남가좌1동	6,726	1,375	2,373	426	2,967	456	1,386	493
2016	서대문구	남가좌2동	3,471	7,478	1,148	3,402	1,186	2,386	1,137	1,690
2016	서대문구	북가좌1동	3,248	3,347	957	1,016	1,519	1,334	772	997
2016	서대문구	북가좌2동	5,395	5,347	1,894	1,334	2,397	2,288	1,104	1,725
2016	서대문구	충현동	2,943	3,141	488	679	1,543	1,383	912	1,079
2016	서대문구	북아현동	3,841	2,094	618	399	2,269	978	954	717
2016	서대문구	신촌동	4,931	4,995	403	581	1,829	2,409	2,699	2,005
2016	서대문구	연희동	6,279	7,004	1,129	1,663	2,722	2,822	2,428	2,519
2016	마포구	소계	62,642	72,793	18,248	18,248	24,297	31,508	20,097	23,037
2016	마포구	용강동	3,366	3,284	1,071	938	1,335	1,328	960	1,018
2016	마포구	대흥동	2,631	3,789	797	975	734	1,698	1,100	1,116
2016	마포구	염리동	1,794	5,638	619	1,832	569	2,607	606	1,199
