날짜,현재가,변동 %,,,
2014년 11월 16일,"1,964.84",1.01%,,,
2014년 11월 09일,"1,945.14",0.27%,,,
2014년 11월 02일,"1,939.87",-1.25%,,,
2014년 10월 26일,"1,964.43",2.01%,,,
2014년 10월 19일,"1,925.69",1.32%,,,
2014년 10월 12일,"1,900.66",-2.07%,,,
2014년 10월 05일,"1,940.92",-1.78%,,,
2014년 09월 28일,"1,976.16",-2.73%,,,
2014년 09월 21일,"2,031.64",-1.08%,,,
2014년 09월 14일,"2,053.82",0.59%,,,
2014년 09월 07일,"2,041.86",-0.37%,,,
2014년 08월 31일,"2,049.41",-0.92%,,,
2014년 08월 24일,"2,068.54",0.58%,,,
2014년 08월 17일,"2,056.70",-0.32%,,,
2014년 08월 10일,"2,063.22",1.58%,,,
2014년 08월 03일,"2,031.10",-2.03%,,,
2014년 07월 27일,"2,073.10",1.93%,,,
2014년 07월 20일,"2,033.85",0.71%,,,
2014년 07월 13일,"2,019.42",1.54%,,,
2014년 07월 06일,"1,988.74",-1.04%,,,
2014년 06월 29일,"2,009.66",1.06%,,,
2014년 06월 22일,"1,988.51",1.04%,,,
2014년 06월 15일,"1,968.07",-1.14%,,,
2014년 06월 08일,"1,990.85",-0.23%,,,
2014년 06월 01일,"1,995.48",0.03%,,,
2014년 05월 25일,"1,994.96",-1.10%,,,
2014년 05월 18일,"2,017.17",0.19%,,,
2014년 05월 11일,"2,013.44",2.91%,,,
2014년 05월 04일,"1,956.55",-0.15%,,,
2014년 04월 27일,"1,959.44",-0.62%,,,
2014년 04월 20일,"1,971.66",-1.63%,,,
2014년 04월 13일,"2,004.28",0.34%,,,
2014년 04월 06일,"1,997.44",0.47%,,,
2014년 03월 30일,"1,988.09",0.36%,,,
2014년 03월 23일,"1,981.00",2.38%,,,
2014년 03월 16일,"1,934.94",0.78%,,,
2014년 03월 09일,"1,919.90",-2.77%,,,
2014년 03월 02일,"1,974.68",-0.27%,,,
2014년 02월 23일,"1,979.99",1.13%,,,
2014년 02월 16일,"1,957.83",0.90%,,,
2014년 02월 09일,"1,940.28",0.92%,,,
2014년 02월 02일,"1,922.50",-0.96%,,,
2014년 01월 26일,"1,941.15",0.03%,,,
2014년 01월 19일,"1,940.56",-0.20%,,,
2014년 01월 12일,"1,944.48",0.31%,,,
2014년 01월 05일,"1,938.54",-0.39%,,,
2013년 12월 29일,"1,946.14",-2.80%,,,
2013년 12월 22일,"2,002.28",0.95%,,,
2013년 12월 15일,"1,983.35",1.04%,,,
2013년 12월 08일,"1,962.91",-0.88%,,,
2013년 12월 01일,"1,980.41",-3.15%,,,
2013년 11월 24일,"2,044.87",1.93%,,,
2013년 11월 17일,"2,006.23",0.03%,,,
2013년 11월 10일,"2,005.64",1.05%,,,
2013년 11월 03일,"1,984.87",-2.67%,,,
2013년 10월 27일,"2,039.42",0.25%,,,
2013년 10월 20일,"2,034.39",-0.88%,,,
2013년 10월 13일,"2,052.40",1.36%,,,
2013년 10월 06일,"2,024.90",1.40%,,,
2013년 09월 29일,"1,996.98",-0.74%,,,
2013년 09월 22일,"2,011.80",0.31%,,,
2013년 09월 15일,"2,005.58",0.56%,,,
2013년 09월 08일,"1,994.32",2.00%,,,
2013년 09월 01일,"1,955.31",1.50%,,,
2013년 08월 25일,"1,926.36",3.01%,,,
2013년 08월 18일,"1,870.16",-2.60%,,,
2013년 08월 11일,"1,920.11",2.09%,,,
2013년 08월 04일,"1,880.71",-2.22%,,,
2013년 07월 28일,"1,923.38",0.66%,,,
2013년 07월 21일,"1,910.81",2.11%,,,
2013년 07월 14일,"1,871.41",0.08%,,,
2013년 07월 07일,"1,869.98",2.00%,,,
2013년 06월 30일,"1,833.31",-1.61%,,,
2013년 06월 23일,"1,863.32",2.22%,,,
2013년 06월 16일,"1,822.83",-3.52%,,,
2013년 06월 09일,"1,889.24",-1.80%,,,
2013년 06월 02일,"1,923.85",-3.86%,,,
2013년 05월 26일,"2,001.05",1.40%,,,
2013년 05월 19일,"1,973.45",-0.67%,,,
2013년 05월 12일,"1,986.81",2.16%,,,
2013년 05월 05일,"1,944.75",-1.07%,,,
2013년 04월 28일,"1,965.71",1.09%,,,
2013년 04월 21일,"1,944.56",1.98%,,,
2013년 04월 14일,"1,906.75",-0.91%,,,
2013년 04월 07일,"1,924.23",-0.16%,,,
2013년 03월 31일,"1,927.23",-3.87%,,,
2013년 03월 24일,"2,004.89",2.88%,,,
2013년 03월 17일,"1,948.71",-1.90%,,,
2013년 03월 10일,"1,986.50",-0.97%,,,
2013년 03월 03일,"2,006.01",-1.01%,,,
2013년 02월 24일,"2,026.49",0.38%,,,
2013년 02월 17일,"2,018.89",1.90%,,,
2013년 02월 10일,"1,981.18",1.55%,,,
2013년 02월 03일,"1,950.90",-0.35%,,,
2013년 01월 27일,"1,957.79",0.57%,,,
2013년 01월 20일,"1,946.69",-2.07%,,,
2013년 01월 13일,"1,987.85",-0.44%,,,
2013년 01월 06일,"1,996.67",-0.76%,,,
2012년 12월 30일,"2,011.94",0.75%,,,
2012년 12월 23일,"1,997.05",0.84%,,,
2012년 12월 16일,"1,980.42",-0.73%,,,
2012년 12월 09일,"1,995.04",1.92%,,,
2012년 12월 02일,"1,957.45",1.27%,,,
2012년 11월 25일,"1,932.90",1.13%,,,
2012년 11월 18일,"1,911.33",2.71%,,,
2012년 11월 11일,"1,860.83",-2.29%,,,
2012년 11월 04일,"1,904.41",-0.75%,,,
2012년 10월 28일,"1,918.72",1.44%,,,
2012년 10월 21일,"1,891.43",-2.70%,,,
2012년 10월 14일,"1,943.84",0.55%,,,
2012년 10월 07일,"1,933.26",-3.10%,,,
2012년 09월 30일,"1,995.17",-0.05%,,,
2012년 09월 23일,"1,996.21",-0.31%,,,
2012년 09월 16일,"2,002.37",-0.26%,,,
2012년 09월 09일,"2,007.58",4.04%,,,
2012년 09월 02일,"1,929.58",1.28%,,,
2012년 08월 26일,"1,905.12",-0.77%,,,
2012년 08월 19일,"1,919.81",-1.37%,,,
2012년 08월 12일,"1,946.54",0.01%,,,
2012년 08월 05일,"1,946.40",5.29%,,,
2012년 07월 29일,"1,848.68",1.07%,,,
2012년 07월 22일,"1,829.16",0.34%,,,
2012년 07월 15일,"1,822.93",0.55%,,,
2012년 07월 08일,"1,812.89",-2.44%,,,
2012년 07월 01일,"1,858.20",0.23%,,,
2012년 06월 24일,"1,854.01",0.36%,,,
2012년 06월 17일,"1,847.39",-0.58%,,,
2012년 06월 10일,"1,858.16",1.23%,,,
2012년 06월 03일,"1,835.64",0.06%,,,
2012년 05월 27일,"1,834.51",0.57%,,,
2012년 05월 20일,"1,824.17",2.34%,,,
2012년 05월 13일,"1,782.46",-7.02%,,,
2012년 05월 06일,"1,917.13",-3.62%,,,
2012년 04월 29일,"1,989.15",0.70%,,,
2012년 04월 22일,"1,975.35",0.04%,,,
2012년 04월 15일,"1,974.65",-1.71%,,,
2012년 04월 08일,"2,008.91",-0.99%,,,
2012년 04월 01일,"2,029.03",0.74%,,,
2012년 03월 25일,"2,014.04",-0.63%,,,
2012년 03월 18일,"2,026.83",-0.37%,,,
2012년 03월 11일,"2,034.44",0.80%,,,
2012년 03월 04일,"2,018.30",-0.80%,,,
2012년 02월 26일,"2,034.63",0.73%,,,
2012년 02월 19일,"2,019.89",-0.18%,,,
2012년 02월 12일,"2,023.47",1.49%,,,
2012년 02월 05일,"1,993.71",1.08%,,,
2012년 01월 29일,"1,972.34",0.38%,,,
2012년 01월 22일,"1,964.83",0.77%,,,
2012년 01월 15일,"1,949.89",3.96%,,,
2012년 01월 08일,"1,875.68",1.77%,,,
2012년 01월 01일,"1,843.14",0.95%,,,
2011년 12월 25일,"1,825.74",-2.22%,,,
2011년 12월 18일,"1,867.22",1.48%,,,
2011년 12월 11일,"1,839.96",-1.86%,,,
2011년 12월 04일,"1,874.75",-2.15%,,,
2011년 11월 27일,"1,916.04",7.86%,,,
2011년 11월 20일,"1,776.40",-3.41%,,,
2011년 11월 13일,"1,839.17",-1.30%,,,
2011년 11월 06일,"1,863.45",-3.37%,,,
2011년 10월 30일,"1,928.41",-0.06%,,,
2011년 10월 23일,"1,929.48",4.96%,,,
2011년 10월 16일,"1,838.38",0.16%,,,
2011년 10월 09일,"1,835.40",4.30%,,,
2011년 10월 02일,"1,759.77",-0.56%,,,
2011년 09월 25일,"1,769.65",4.25%,,,
2011년 09월 18일,"1,697.44",-7.75%,,,
2011년 09월 11일,"1,840.10",1.50%,,,
2011년 09월 04일,"1,812.93",-2.94%,,,
2011년 08월 28일,"1,867.75",4.99%,,,
2011년 08월 21일,"1,778.95",1.95%,,,
2011년 08월 14일,"1,744.88",-2.70%,,,
2011년 08월 07일,"1,793.31",-7.74%,,,
2011년 07월 31일,"1,943.75",-8.88%,,,
2011년 07월 24일,"2,133.21",-1.75%,,,
2011년 07월 17일,"2,171.23",1.21%,,,
2011년 07월 10일,"2,145.20",-1.61%,,,
2011년 07월 03일,"2,180.35",2.57%,,,
2011년 06월 26일,"2,125.74",1.67%,,,
2011년 06월 19일,"2,090.81",2.90%,,,
2011년 06월 12일,"2,031.93",-0.72%,,,
2011년 06월 05일,"2,046.67",-3.16%,,,
2011년 05월 29일,"2,113.47",0.63%,,,
2011년 05월 22일,"2,100.24",-0.53%,,,
2011년 05월 15일,"2,111.50",-0.40%,,,
2011년 05월 08일,"2,120.08",-1.27%,,,
2011년 05월 01일,"2,147.45",-2.05%,,,
2011년 04월 24일,"2,192.36",-0.25%,,,
2011년 04월 17일,"2,197.82",2.68%,,,
2011년 04월 10일,"2,140.50",0.59%,,,
2011년 04월 03일,"2,127.97",0.33%,,,
2011년 03월 27일,"2,121.01",3.26%,,,
2011년 03월 20일,"2,054.04",3.68%,,,
2011년 03월 13일,"1,981.13",1.31%,,,
2011년 03월 06일,"1,955.54",-2.45%,,,
2011년 02월 27일,"2,004.68",2.10%,,,
2011년 02월 20일,"1,963.43",-2.47%,,,
2011년 02월 13일,"2,013.14",1.82%,,,
2011년 02월 06일,"1,977.19",-4.58%,,,
2011년 01월 30일,"2,072.03",-1.70%,,,
2011년 01월 23일,"2,107.87",1.83%,,,
2011년 01월 16일,"2,069.92",-1.81%,,,
2011년 01월 09일,"2,108.17",1.05%,,,
2011년 01월 02일,"2,086.20",1.72%,,,
2010년 12월 26일,"2,051.00",1.05%,,,
2010년 12월 19일,"2,029.60",0.16%,,,
2010년 12월 12일,"2,026.30",2.02%,,,
2010년 12월 05일,"1,986.14",1.48%,,,
2010년 11월 28일,"1,957.26",2.92%,,,
2010년 11월 21일,"1,901.80",-2.02%,,,
2010년 11월 14일,"1,940.96",1.46%,,,
2010년 11월 07일,"1,913.12",-1.33%,,,
2010년 10월 31일,"1,938.96",2.97%,,,
2010년 10월 24일,"1,882.95",-0.76%,,,
2010년 10월 17일,"1,897.31",-0.26%,,,
2010년 10월 10일,"1,902.29",0.28%,,,
2010년 10월 03일,"1,897.07",1.08%,,,
2010년 09월 26일,"1,876.73",1.63%,,,
2010년 09월 19일,"1,846.60",1.05%,,,
2010년 09월 12일,"1,827.35",1.37%,,,
2010년 09월 05일,"1,802.58",1.27%,,,
2010년 08월 29일,"1,780.02",2.92%,,,
2010년 08월 22일,"1,729.56",-2.59%,,,
2010년 08월 15일,"1,775.54",1.68%,,,
2010년 08월 08일,"1,746.24",-2.11%,,,
2010년 08월 01일,"1,783.83",1.39%,,,
2010년 07월 25일,"1,759.33",0.07%,,,
2010년 07월 18일,"1,758.06",1.13%,,,
2010년 07월 11일,"1,738.45",0.90%,,,
2010년 07월 04일,"1,723.01",3.06%,,,
2010년 06월 27일,"1,671.82",-3.35%,,,
2010년 06월 20일,"1,729.84",1.05%,,,
2010년 06월 13일,"1,711.95",2.19%,,,
2010년 06월 06일,"1,675.34",0.67%,,,
2010년 05월 30일,"1,664.13",2.55%,,,
2010년 05월 23일,"1,622.78",1.41%,,,
2010년 05월 16일,"1,600.18",-5.63%,,,
2010년 05월 09일,"1,695.63",2.92%,,,
2010년 05월 02일,"1,647.50",-5.40%,,,
2010년 04월 25일,"1,741.56",0.26%,,,
2010년 04월 18일,"1,737.03",0.15%,,,
2010년 04월 11일,"1,734.49",0.58%,,,
2010년 04월 04일,"1,724.47",0.06%,,,
2010년 03월 28일,"1,723.49",1.52%,,,
2010년 03월 21일,"1,697.72",0.69%,,,
2010년 03월 14일,"1,686.11",1.41%,,,
2010년 03월 07일,"1,662.74",1.72%,,,
2010년 02월 28일,"1,634.57",2.51%,,,
2010년 02월 21일,"1,594.58",0.04%,,,
2010년 02월 14일,"1,593.90",0.02%,,,
2010년 02월 07일,"1,593.66",1.69%,,,
2010년 01월 31일,"1,567.12",-2.20%,,,
2010년 01월 24일,"1,602.43",-4.86%,,,
2010년 01월 17일,"1,684.35",-1.03%,,,
2010년 01월 10일,"1,701.80",0.39%,,,
2010년 01월 03일,"1,695.26",0.74%,,,
2009년 12월 27일,"1,682.77",0.03%,,,
2009년 12월 20일,"1,682.34",2.14%,,,
2009년 12월 13일,"1,647.04",-0.60%,,,
2009년 12월 06일,"1,656.90",1.98%,,,
2009년 11월 29일,"1,624.76",6.58%,,,
2009년 11월 22일,"1,524.50",-5.93%,,,
2009년 11월 15일,"1,620.60",3.09%,,,
2009년 11월 08일,"1,571.99",-0.03%,,,
2009년 11월 01일,"1,572.46",-0.52%,,,
2009년 10월 25일,"1,580.69",-3.63%,,,
2009년 10월 18일,"1,640.17",-0.01%,,,
2009년 10월 11일,"1,640.36",-0.39%,,,
2009년 10월 04일,"1,646.79",0.13%,,,
2009년 09월 27일,"1,644.63",-2.77%,,,
2009년 09월 20일,"1,691.48",-0.48%,,,
2009년 09월 13일,"1,699.71",2.91%,,,
2009년 09월 06일,"1,651.70",2.66%,,,
2009년 08월 30일,"1,608.90",0.06%,,,
2009년 08월 23일,"1,607.94",1.71%,,,
2009년 08월 16일,"1,580.98",-0.66%,,,
2009년 08월 09일,"1,591.41",0.98%,,,
2009년 08월 02일,"1,576.00",1.20%,,,
2009년 07월 26일,"1,557.29",3.64%,,,
2009년 07월 19일,"1,502.59",4.34%,,,
