기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1974	서울특별시	합계	합계	2,050,392	1,819,660	1,511,726	…	…	…	538,666	307,934	230,732
1974	서울특별시	합계	남자	1,056,259	945,657	773,583	…	…	…	282,676	172,074	110,602
1974	서울특별시	합계	여자	994,133	874,003	738,143	…	…	…	255,990	135,860	120,130
1974	서울특별시	1월	합계	113,011	99,323	82,040	…	…	…	30,971	17,283	13,688
1974	서울특별시	1월	남자	58,162	51,611	41,877	…	…	…	16,285	9,734	6,551
1974	서울특별시	1월	여자	54,849	47,712	40,163	…	…	…	14,686	7,549	7,137
1974	서울특별시	2월	합계	163,371	139,404	114,601	…	…	…	48,770	24,803	23,967
1974	서울특별시	2월	남자	84,158	72,503	58,639	…	…	…	25,519	13,864	11,655
1974	서울특별시	2월	여자	79,213	66,901	55,962	…	…	…	23,251	10,939	12,312
1974	서울특별시	3월	합계	190,249	169,646	138,290	…	…	…	51,959	31,356	20,603
1974	서울특별시	3월	남자	99,393	89,443	71,722	…	…	…	27,671	17,721	9,950
1974	서울특별시	3월	여자	90,856	80,203	66,568	…	…	…	24,288	13,635	10,653
1974	서울특별시	4월	합계	197,545	177,196	147,709	…	…	…	49,836	29,487	20,349
1974	서울특별시	4월	남자	104,168	94,096	77,170	…	…	…	26,998	16,926	10,072
1974	서울특별시	4월	여자	93,377	83,100	70,539	…	…	…	22,838	12,561	10,277
1974	서울특별시	5월	합계	175,181	156,938	130,904	…	…	…	44,277	26,034	18,243
1974	서울특별시	5월	남자	91,834	82,879	68,075	…	…	…	23,759	14,804	8,955
1974	서울특별시	5월	여자	83,347	74,059	62,829	…	…	…	20,518	11,230	9,288
1974	서울특별시	6월	합계	151,973	134,361	112,998	…	…	…	38,975	21,363	17,612
1974	서울특별시	6월	남자	79,088	70,629	58,512	…	…	…	20,576	12,117	8,459
1974	서울특별시	6월	여자	72,885	63,732	54,486	…	…	…	18,399	9,246	9,153
1974	서울특별시	7월	합계	195,028	171,232	147,093	…	…	…	47,935	24,139	23,796
1974	서울특별시	7월	남자	100,492	89,005	75,374	…	…	…	25,118	13,631	11,487
1974	서울특별시	7월	여자	94,536	82,227	71,719	…	…	…	22,817	10,508	12,309
1974	서울특별시	8월	합계	208,871	184,567	153,120	…	…	…	55,751	31,447	24,304
1974	서울특별시	8월	남자	106,059	94,131	77,116	…	…	…	28,943	17,015	11,928
1974	서울특별시	8월	여자	102,812	90,436	76,004	…	…	…	26,808	14,432	12,376
1974	서울특별시	9월	합계	160,617	145,054	117,163	…	…	…	43,454	27,891	15,563
1974	서울특별시	9월	남자	82,021	74,406	59,442	…	…	…	22,579	14,964	7,615
1974	서울특별시	9월	여자	78,596	70,648	57,721	…	…	…	20,875	12,927	7,948
1974	서울특별시	10월	합계	163,335	146,122	121,250	…	…	…	42,085	24,872	17,213
1974	서울특별시	10월	남자	83,275	75,304	61,579	…	…	…	21,696	13,725	7,971
1974	서울특별시	10월	여자	80,060	70,818	59,671	…	…	…	20,389	11,147	9,242
1974	서울특별시	11월	합계	162,082	145,984	121,131	…	…	…	40,951	24,853	16,098
1974	서울특별시	11월	남자	82,348	75,323	61,231	…	…	…	21,117	14,092	7,025
1974	서울특별시	11월	여자	79,734	70,661	59,900	…	…	…	19,834	10,761	9,073
1974	서울특별시	12월	합계	169,129	149,833	125,427	…	…	…	43,702	24,406	19,296
1974	서울특별시	12월	남자	85,261	76,327	62,846	…	…	…	22,415	13,481	8,934
1974	서울특별시	12월	여자	83,868	73,506	62,581	…	…	…	21,287	10,925	10,362
1975	서울특별시	합계	합계	3,396,662	2,937,093	2,401,970	…	…	…	994,692	535,123	459,569
1975	서울특별시	합계	남자	1,715,564	1,487,964	1,210,051	…	…	…	505,513	277,913	227,600
1975	서울특별시	합계	여자	1,681,098	1,449,129	1,191,919	…	…	…	489,179	257,210	231,969
1975	서울특별시	1월	합계	188,152	162,959	136,169	…	…	…	51,983	26,790	25,193
1975	서울특별시	1월	남자	94,609	82,433	68,337	…	…	…	26,272	14,096	12,176
1975	서울특별시	1월	여자	93,543	80,526	67,832	…	…	…	25,711	12,694	13,017
1975	서울특별시	2월	합계	167,858	141,121	116,542	…	…	…	51,316	24,579	26,737
1975	서울특별시	2월	남자	84,399	71,530	58,490	…	…	…	25,909	13,040	12,869
1975	서울특별시	2월	여자	83,459	69,591	58,052	…	…	…	25,407	11,539	13,868
1975	서울특별시	3월	합계	192,243	167,790	133,241	…	…	…	59,002	34,549	24,453
1975	서울특별시	3월	남자	99,356	87,592	68,552	…	…	…	30,804	19,040	11,764
1975	서울특별시	3월	여자	92,887	80,198	64,689	…	…	…	28,198	15,509	12,689
1975	서울특별시	4월	합계	208,617	184,854	152,859	…	…	…	55,758	31,995	23,763
1975	서울특별시	4월	남자	108,813	97,483	79,409	…	…	…	29,404	18,074	11,330
1975	서울특별시	4월	여자	99,804	87,371	73,450	…	…	…	26,354	13,921	12,433
1975	서울특별시	5월	합계	220,145	197,369	167,831	…	…	…	52,314	29,538	22,776
1975	서울특별시	5월	남자	113,278	102,307	85,992	…	…	…	27,286	16,315	10,971
1975	서울특별시	5월	여자	106,867	95,062	81,839	…	…	…	25,028	13,223	11,805
1975	서울특별시	6월	합계	279,185	250,402	220,290	…	…	…	58,895	30,112	28,783
1975	서울특별시	6월	남자	142,528	128,863	112,186	…	…	…	30,342	16,677	13,665
1975	서울특별시	6월	여자	136,657	121,539	108,104	…	…	…	28,553	13,435	15,118
1975	서울특별시	7월	합계	426,976	383,893	312,716	…	…	…	114,260	71,177	43,083
1975	서울특별시	7월	남자	214,927	194,914	157,897	…	…	…	57,030	37,017	20,013
1975	서울특별시	7월	여자	212,049	188,979	154,819	…	…	…	57,230	34,160	23,070
1975	서울특별시	8월	합계	571,524	502,282	377,581	…	…	…	193,943	124,701	69,242
1975	서울특별시	8월	남자	288,363	250,903	189,398	…	…	…	98,965	61,505	37,460
1975	서울특별시	8월	여자	283,161	251,379	188,183	…	…	…	94,978	63,196	31,782
1975	서울특별시	9월	합계	344,576	268,807	221,233	…	…	…	123,343	47,574	75,769
1975	서울특별시	9월	남자	173,035	134,801	109,943	…	…	…	63,092	24,858	38,234
1975	서울특별시	9월	여자	171,541	134,006	111,290	…	…	…	60,251	22,716	37,535
1975	서울특별시	10월	합계	332,425	284,487	239,904	…	…	…	92,521	44,583	47,938
1975	서울특별시	10월	남자	164,954	141,391	119,380	…	…	…	45,574	22,011	23,563
1975	서울특별시	10월	여자	167,471	143,096	120,524	…	…	…	46,947	22,572	24,375
1975	서울특별시	11월	합계	231,828	195,677	160,051	…	…	…	71,777	35,626	36,151
1975	서울특별시	11월	남자	114,282	96,387	78,570	…	…	…	35,712	17,817	17,895
