,,
지역,시점,매매가격 대비 전세가격(전세지가)
6대광역시,2015. 08 월,73.46940615
6대광역시,2015. 09 월,73.49500982
6대광역시,2015. 10 월,73.51687753
6대광역시,2015. 11 월,73.55451604
6대광역시,2015. 12 월,73.63397994
6대광역시,2016. 01 월,73.73566618
6대광역시,2016. 02 월,73.88752038
6대광역시,2016. 03 월,73.99145274
6대광역시,2016. 04 월,74.10999773
6대광역시,2016. 05 월,74.22059085
6대광역시,2016. 06 월,74.30806746
6대광역시,2016. 07 월,74.3519858
6대광역시,2016. 08 월,74.3862025
6대광역시,2016. 09 월,74.30808057
6대광역시,2016. 10 월,74.29513896
6대광역시,2016. 11 월,74.28140008
6대광역시,2016. 12 월,74.28320477
6대광역시,2017. 01 월,74.30419347
6대광역시,2017. 02 월,74.38511813
6대광역시,2017. 03 월,74.43557212
6대광역시,2017. 04 월,74.49771866
6대광역시,2017. 05 월,74.52026316
6대광역시,2017. 06 월,74.51841898
6대광역시,2017. 07 월,74.48208493
6대광역시,2017. 08 월,74.38025835
6대광역시,2017. 09 월,74.3410314
6대광역시,2017. 10 월,74.31505782
6대광역시,2017. 11 월,74.32959235
6대광역시,2017. 12 월,74.76335412
6대광역시,2018. 01 월,74.71932125
6대광역시,2018. 02 월,74.65948136
6대광역시,2018. 03 월,74.59038839
6대광역시,2018. 04 월,74.51583168
6대광역시,2018. 05 월,74.36436824
6대광역시,2018. 06 월,74.32722886
6대광역시,2018. 07 월,74.26551984
6대광역시,2018. 08 월,74.23633216
6대광역시,2018. 09 월,74.16799264
6대광역시,2018. 10 월,74.04172555
6대광역시,2018. 11 월,73.94625359
6대광역시,2018. 12 월,73.83054083
6대광역시,2019. 01 월,73.26784959
6대광역시,2019. 02 월,73.25693199
6대광역시,2019. 03 월,73.26295924
6대광역시,2019. 04 월,73.2632332
6대광역시,2019. 05 월,73.282394
6대광역시,2019. 06 월,73.26649571
6대광역시,2019. 07 월,73.24554183
6대광역시,2019. 08 월,73.2274588
6대광역시,2019. 09 월,73.19270622
6대광역시,2019. 10 월,73.18213989
6대광역시,2019. 11 월,73.13619031
6대광역시,2019. 12 월,73.03252013
5대광역시,2012. 01 월,70.78787055
5대광역시,2012. 02 월,70.7159696
5대광역시,2012. 03 월,70.86035446
5대광역시,2012. 04 월,71.03904279
5대광역시,2012. 05 월,71.19917585
5대광역시,2012. 06 월,71.19958338
5대광역시,2012. 07 월,71.23691762
5대광역시,2012. 08 월,71.31823471
5대광역시,2012. 09 월,71.51291382
5대광역시,2012. 10 월,71.68013739
5대광역시,2012. 11 월,71.88278582
5대광역시,2012. 12 월,71.40056294
5대광역시,2013. 01 월,71.59539864
5대광역시,2013. 02 월,71.83224879
5대광역시,2013. 03 월,72.06108961
5대광역시,2013. 04 월,72.35769542
5대광역시,2013. 05 월,72.50925997
5대광역시,2013. 06 월,72.62248039
5대광역시,2013. 07 월,72.75306027
5대광역시,2013. 08 월,72.97177159
5대광역시,2013. 09 월,73.15662756
5대광역시,2013. 10 월,73.25577434
5대광역시,2013. 11 월,73.32760235
5대광역시,2013. 12 월,73.39677322
5대광역시,2014. 01 월,73.52854733
5대광역시,2014. 02 월,73.64288544
5대광역시,2014. 03 월,73.73729216
5대광역시,2014. 04 월,73.77069582
5대광역시,2014. 05 월,73.78069624
5대광역시,2014. 06 월,73.7928385
5대광역시,2014. 07 월,73.76262153
5대광역시,2014. 08 월,73.75968021
5대광역시,2014. 09 월,73.75307645
5대광역시,2014. 10 월,73.75309916
5대광역시,2014. 11 월,73.74071366
5대광역시,2014. 12 월,73.72900926
5대광역시,2015. 01 월,73.68231138
5대광역시,2015. 02 월,73.67177404
5대광역시,2015. 03 월,73.69631027
5대광역시,2015. 04 월,73.71196671
5대광역시,2015. 05 월,73.69161432
5대광역시,2015. 06 월,73.66707012
5대광역시,2015. 07 월,73.92955471
5대광역시,2015. 08 월,73.90198569
5대광역시,2015. 09 월,73.88638698
5대광역시,2015. 10 월,73.88883925
5대광역시,2015. 11 월,73.89727303
5대광역시,2015. 12 월,73.9822392
5대광역시,2016. 01 월,74.09346912
5대광역시,2016. 02 월,74.23856113
5대광역시,2016. 03 월,74.32542107
5대광역시,2016. 04 월,74.42393389
5대광역시,2016. 05 월,74.5144691
5대광역시,2016. 06 월,74.56968716
5대광역시,2016. 07 월,74.59317427
5대광역시,2016. 08 월,74.60102652
5대광역시,2016. 09 월,74.51375342
5대광역시,2016. 10 월,74.47837355
5대광역시,2016. 11 월,74.44603894
5대광역시,2016. 12 월,74.44089275
5대광역시,2017. 01 월,74.45917199
5대광역시,2017. 02 월,74.49180071
5대광역시,2017. 03 월,74.53812612
5대광역시,2017. 04 월,74.59075084
5대광역시,2017. 05 월,74.60463351
5대광역시,2017. 06 월,74.5808774
5대광역시,2017. 07 월,74.52823523
5대광역시,2017. 08 월,74.42452023
5대광역시,2017. 09 월,74.38646513
5대광역시,2017. 10 월,74.36380456
5대광역시,2017. 11 월,74.39490656
5대광역시,2017. 12 월,74.07120189
5대광역시,2018. 01 월,74.03592763
5대광역시,2018. 02 월,73.9883437
5대광역시,2018. 03 월,73.92803829
5대광역시,2018. 04 월,73.8646865
5대광역시,2018. 05 월,73.71383305
5대광역시,2018. 06 월,73.67779479
5대광역시,2018. 07 월,73.61765339
5대광역시,2018. 08 월,73.58989857
5대광역시,2018. 09 월,73.49752682
5대광역시,2018. 10 월,73.35830691
5대광역시,2018. 11 월,73.26850805
5대광역시,2018. 12 월,73.19171421
5대광역시,2019. 01 월,72.60099424
5대광역시,2019. 02 월,72.61702095
5대광역시,2019. 03 월,72.6562788
5대광역시,2019. 04 월,72.70355643
5대광역시,2019. 05 월,72.73460659
5대광역시,2019. 06 월,72.7405371
5대광역시,2019. 07 월,72.71279484
5대광역시,2019. 08 월,72.67583145
5대광역시,2019. 09 월,72.63445009
5대광역시,2019. 10 월,72.60008109
5대광역시,2019. 11 월,72.54167802
5대광역시,2019. 12 월,72.42279903
9개도,2012. 01 월,64.01825385
9개도,2012. 02 월,64.09102295
9개도,2012. 03 월,64.06776603
9개도,2012. 04 월,64.19468592
9개도,2012. 05 월,64.3025831
9개도,2012. 06 월,64.47124831
9개도,2012. 07 월,64.57239672
9개도,2012. 08 월,64.78983196
9개도,2012. 09 월,65.08481432
9개도,2012. 10 월,65.52880365
9개도,2012. 11 월,65.85500948
9개도,2012. 12 월,65.49098004
9개도,2013. 01 월,65.85573425
9개도,2013. 02 월,66.12027533
9개도,2013. 03 월,66.45779945
9개도,2013. 04 월,66.81627344
9개도,2013. 05 월,66.94293139
9개도,2013. 06 월,67.07466453
9개도,2013. 07 월,67.28881143
9개도,2013. 08 월,67.67425169
9개도,2013. 09 월,68.0419642
9개도,2013. 10 월,68.37819655
9개도,2013. 11 월,68.64224671
9개도,2013. 12 월,68.85978696
9개도,2014. 01 월,69.1945742
9개도,2014. 02 월,69.48355833
9개도,2014. 03 월,69.72220836
9개도,2014. 04 월,69.8413214
9개도,2014. 05 월,69.89350571
9개도,2014. 06 월,69.99243384
9개도,2014. 07 월,70.09979424
9개도,2014. 08 월,70.22713161
9개도,2014. 09 월,70.35550413
9개도,2014. 10 월,70.46860314
9개도,2014. 11 월,70.61076016
9개도,2014. 12 월,70.76613747
9개도,2015. 01 월,70.93439897
9개도,2015. 02 월,71.06978578
9개도,2015. 03 월,71.23601229
9개도,2015. 04 월,71.43993897
9개도,2015. 05 월,71.58538204
9개도,2015. 06 월,71.7273718
9개도,2015. 07 월,73.77478553
9개도,2015. 08 월,73.83942382
9개도,2015. 09 월,73.95723118
9개도,2015. 10 월,74.06882361
9개도,2015. 11 월,74.17974355
9개도,2015. 12 월,74.31515173
9개도,2016. 01 월,74.40094916
9개도,2016. 02 월,74.52535826
9개도,2016. 03 월,74.67752103
9개도,2016. 04 월,74.85942372
9개도,2016. 05 월,74.99310745
9개도,2016. 06 월,75.15477747
9개도,2016. 07 월,75.2868242
9개도,2016. 08 월,75.40437919
9개도,2016. 09 월,75.47609269
9개도,2016. 10 월,75.59072669
9개도,2016. 11 월,75.67006582
9개도,2016. 12 월,75.76758235
9개도,2017. 01 월,75.79618743
9개도,2017. 02 월,75.84457327
9개도,2017. 03 월,75.91146389
9개도,2017. 04 월,75.95634818
