"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"서울특별시","2019. 03 월","135592","137242","-1650","37770","51496","51496","46326","47976",
"서울특별시","2019. 04 월","118129","122867","-4738","35170","45360","45360","37599","42337",
"서울특별시","2019. 05 월","110881","117209","-6328","33724","41404","41404","35753","42081",
"서울특별시","2019. 06 월","91828","97933","-6105","27113","34900","34900","29815","35920",
"서울특별시","2019. 07 월","111288","118365","-7077","32601","42090","42090","36597","43674",
"서울특별시","2019. 08 월","110592","118002","-7410","31125","41807","41807","37660","45070",
"서울특별시","2019. 09 월","103969","109435","-5466","30186","39647","39647","34136","39602",
"서울특별시","2019. 10 월","128067","133127","-5060","40846","50461","50461","36760","41820",
"서울특별시","2019. 11 월","113012","117720","-4708","34466","44101","44101","34445","39153",
"부산광역시","2006. 01 월","42388","44789","-2401","12307","19194","19194","10887","13288",
"부산광역시","2006. 02 월","60143","62553","-2410","17335","26689","26689","16119","18529",
"부산광역시","2006. 03 월","56279","59972","-3693","18284","24392","24392","13603","17296",
"부산광역시","2006. 04 월","51738","55122","-3384","18518","22744","22744","10476","13860",
"부산광역시","2006. 05 월","48989","52558","-3569","17040","21762","21762","10187","13756",
"부산광역시","2006. 06 월","47014","49651","-2637","16400","20611","20611","10003","12640",
"부산광역시","2006. 07 월","33387","35345","-1958","10416","14465","14465","8506","10464",
"부산광역시","2006. 08 월","39920","41912","-1992","12070","17108","17108","10742","12734",
"부산광역시","2006. 09 월","41711","43829","-2118","13865","18442","18442","9404","11522",
"부산광역시","2006. 10 월","42013","44078","-2065","13833","18589","18589","9591","11656",
"부산광역시","2006. 11 월","46711","50363","-3652","16525","20283","20283","9903","13555",
"부산광역시","2006. 12 월","49622","54429","-4807","16008","21703","21703","11911","16718",
"부산광역시","2007. 01 월","51144","53654","-2510","15155","22519","22519","13470","15980",
"부산광역시","2007. 02 월","51641","54177","-2536","14374","22632","22632","14635","17171",
"부산광역시","2007. 03 월","48297","51395","-3098","15046","20573","20573","12678","15776",
"부산광역시","2007. 04 월","41564","44882","-3318","13566","17976","17976","10022","13340",
"부산광역시","2007. 05 월","46600","49514","-2914","16349","20095","20095","10156","13070",
"부산광역시","2007. 06 월","38613","40866","-2253","13323","16165","16165","9125","11378",
