"자치단체코드","상호","휴폐업구분","업태","허가일자"
"3160000","개봉제일시장","영업중","그밖의 대규모점포","19761228"
"3220000","수서종합상가","영업중","그밖의 대규모점포","19921226"
"3220000","청실종합상가","영업중","그밖의 대규모점포","19790416"
"3220000","그랑프리","영업중","그밖의 대규모점포","19850206"
"3220000","두산아케이드","영업중","그밖의 대규모점포","19870202"
"3240000","현대백화점 천호점","영업중","백화점","19990412"
"3190000","(주)홈플러스 대방점","영업중","그밖의 대규모점포","20120327"
"3230000","홈플러스(주) 익스프레스 송파점","영업중","구분없음","20110905"
"3190000","홈플러스(주) 익스프레스 상도점","영업중","구분없음","20110714"
"3110000","대림시장","영업중","시장","20071221"
"3130000","홈플러스익스프레스 망원점","폐업","구분없음","20111213"
"3110000","홈플러스(주)익스프레스구산점","영업중","그밖의 대규모점포","20110725"
"3190000","홈플러스(주) 익스프레스 남성점","영업중","복합쇼핑몰","20110826"
"3110000","홈플러스(주) 익스프레스 역촌점","영업중","그밖의 대규모점포","20120326"
"3170000","유창상가","영업중","그밖의 대규모점포","19940314"
"3170000","삼성테스코(주)홈플러스 금천점","","대형마트","20031002"
"3170000","남문시장","휴업","그밖의 대규모점포","20050826"
"3170000","삼성테스코(주)홈플러스 금천점","","대형마트","20031017"
"3160000","라이프공구종합상가","영업중","그밖의 대규모점포","19940330"
"3160000","공구상가일번지","영업중","그밖의 대규모점포","19980114"
"3160000","이마트구로점","","대형마트","19990727"
"3160000","(주)신세계이마트구로점","휴업","대형마트","20050331"
"3160000","롯데마트 구로점","휴업","대형마트","20050601"
"3160000","비엔큐홈(구로점)","휴업","대형마트","20050601"
"3160000","롯데마트 구로점","휴업","대형마트","20050601"
"3160000","(주)신세계이마트구로점","휴업","대형마트","20050331"
"3160000","중앙유통단지","휴업","그밖의 대규모점포","19980512"
"3160000","서울구로기계공구상가","영업중","그밖의 대규모점포","19960627"
"3160000","애경백화점","휴업","백화점","19930830"
"3160000","일이삼전자타운","휴업","그밖의 대규모점포","20051115"
"3160000","고척시장","영업중","그밖의 대규모점포","19711019"
"3160000","이천일아울렛구로점","휴업","그밖의 대규모점포","20051118"
"3160000","개봉프라자","영업중","그밖의 대규모점포","19930527"
"3160000","동국종합상가","휴업","그밖의 대규모점포","19930107"
"3160000","개봉중앙시장","영업중","그밖의 대규모점포","19760806"
"3160000","개봉제일시장","영업중","그밖의 대규모점포","19761228"
"3160000","오류시장","영업중","그밖의 대규모점포","19681023"
"3140000","롯데슈퍼 목동2점","영업중","구분없음","20120405"
"3230000","가든파이브 툴","영업중","백화점","20090511"
"3150000","노브랜드 강서가양점","영업중","구분없음","20170330"
"3200000","관악종합시장","영업중","그밖의 대규모점포","19691015"
"3040000","한아름시장","영업중","그밖의 대규모점포","19800407"
"3220000","코엑스 호텔아케이드","영업중","쇼핑센터","20000501"
"3150000","롯데쇼핑㈜ 마켓999 양천향교역가맹점","영업중","구분없음","20170814"
"3220000","파르나스몰(PARNAS MALL)","영업중","쇼핑센터","19881019"
"3150000","이마트에브리데이 마곡점","영업중","구분없음","20170617"
"3030000","뚝도시장","영업중","시장","19620125"
"3150000","노브랜드 강서마곡점","영업중","구분없음","20180730"
"3150000","㈜이마트에브리데이 양천향교역점","영업중","구분없음","20171011"
"3030000","(주)이마트 왕십리점","영업중","대형마트","20080627"
"3240000","동서울시장","영업중","시장","19701231"
"3090000","신동아프라자","영업중","그밖의 대규모점포","19890804"
"3240000","천호신시장","영업중","시장","20050509"
"3160000","구로시장","영업중","그밖의 대규모점포","19620925"
"3160000","사모아종합상가","영업중","그밖의 대규모점포","19890320"
"3160000","배영설비(주)","영업중","그밖의 대규모점포","19720121"
"3190000","홈플러스 익스프레스 상도3점","영업중","구분없음","20120424"
"3160000","중앙유통단지","영업중","그밖의 대규모점포","19980512"
"3010000","신세계백화점메사점","영업중","쇼핑센터","20000821"
"3010000","에이피엠패션몰","영업중","그밖의 대규모점포","20020612"
"3010000","라모도 쇼핑몰","휴업","그밖의 대규모점포","20060607"
"3050000","롯데쇼핑(주) 롯데슈퍼 장안 2동점","폐업","구분없음","20130814"
"3170000","홈플러스(주)익스프레스 독산점","영업중","구분없음","20120410"
"3130000","(주)이마트 마포점","영업중","대형마트","20101223"
"3030000","성동마트","영업재개","그밖의 대규모점포","20010913"
"3010000","통일상가","영업중","그밖의 대규모점포","19700129"
"3230000","(주)지에스리테일 삼전점","폐업","구분없음","20101025"
"3240000","(주)지에스리테일 명일점","영업중","구분없음","20110927"
"3070000","동소문스카이상가","영업중","그밖의 대규모점포","20190524"
"3010000","엠플라자(M plaza)","영업중","쇼핑센터","20080827"
"3190000","(주) GS리테일 GS수퍼 사당태평점","","구분없음","20180827"
"3160000","고척산업용품상가","영업중","그밖의 대규모점포","19861101"
"3180000","영등포 점프밀라노","영업중","쇼핑센터","20051201"
"3110000","대호프라자상가","영업중","그밖의 대규모점포","19701224"
"3070000","길음시장","영업중","그밖의 대규모점포","20190529"
"3010000","호텔롯데아케이드","영업중","그밖의 대규모점포","19781222"
"3010000","디오트","영업중","그밖의 대규모점포","20060414"
"3070000","길음시장","영업중","그밖의 대규모점포","20190613"
"3010000","밀리오레명동","영업재개","그밖의 대규모점포","20000530"
"3010000","맥스타일","영업중","전문점","20101008"
"3010000","눈스퀘어","영업중","그밖의 대규모점포","20020115"
"3050000","동부청과(주)","영업중","그밖의 대규모점포","20070205"
"3000000","동대문종합시장D동상가","영업중","그밖의 대규모점포","20041210"
"3080000","우이시장","영업중","시장","19620821"
"3140000","롯데쇼핑(주)롯데슈퍼 신목동점","영업중","","20120523"
"3060000","주식회사 이마트 묵동점","영업중","대형마트","20100721"
"3200000","홈플러스 익스프레스 봉천점","영업중","구분없음","20111019"
"3230000","송파쇼핑센타","영업중","그밖의 대규모점포","19980317"
"3160000","일이삼전자타운","영업중","그밖의 대규모점포","19981126"
"3060000","주식회사 이마트 상봉점","영업중","대형마트","20000503"
"3130000","홍대복합역사 상업시설","","쇼핑센터","20180813"
"3240000","양지종합시장","","시장","19820527"
"3070000","","영업중","","20120514"
"3160000","일이삼전자타운","영업중","그밖의 대규모점포","19981126"
"3220000","동화상가(주)","영업중","그밖의 대규모점포","20130215"
"3010000","서울남대문시장","영업중","그밖의 대규모점포","19641013"
"3160000","고척스카이프라자","영업중","그밖의 대규모점포","19711019"
"3040000","테크노-마트21","영업중","그밖의 대규모점포","19980323"
"3240000","롯데슈퍼암사가맹점","영업중","대형마트","20110927"
"3160000","AK PLAZA","영업중","백화점","19930830"
"3220000","롯데 프리미엄 푸드마켓 삼성점","영업중","구분없음","20120702"
"3080000","강북종합시장","영업중","시장","20130220"
"3110000","홈플러스 익스프레스 갈현점","영업중","그밖의 대규모점포","20120323"
"3240000","양지종합시장","폐업","시장","20070704"
"3200000","관악프라자","영업중","쇼핑센터","19881023"
"3100000","유경데파트","영업중","그밖의 대규모점포","19960918"
"3150000","아름다운아울렛","폐업","전문점","20100415"
