,종가,거래량,거래대금,변동 %
2019년 04월 24일,"2,201.03",575.10M,1265812.353K,-0.88%
2019년 04월 23일,"2,220.51",481.18M,1068465.002K,0.17%
2019년 04월 22일,"2,216.65",493.98M,1094980.767K,0.02%
2019년 04월 19일,"2,216.15",525.26M,1164054.949K,0.11%
2019년 04월 18일,"2,213.77",573.34M,1269242.892K,-1.43%
2019년 04월 17일,"2,245.89",452.47M,1016197.848K,-0.12%
2019년 04월 16일,"2,248.63",569.06M,1279605.388K,0.26%
2019년 04월 15일,"2,242.88",404.16M,906482.3808K,0.42%
2019년 04월 12일,"2,233.45",449.63M,1004226.124K,0.41%
2019년 04월 11일,"2,224.44",402.02M,894269.3688K,0.00%
2019년 04월 10일,"2,224.39",399.69M,889066.4391K,0.49%
2019년 04월 09일,"2,213.56",414.81M,918206.8236K,0.13%
2019년 04월 08일,"2,210.60",347.91M,769089.846K,0.04%
2019년 04월 05일,"2,209.61",517.15M,1142699.812K,0.14%
2019년 04월 04일,"2,206.53",431.01M,951036.4953K,0.15%
2019년 04월 03일,"2,203.27",358.64M,790180.7528K,1.20%
2019년 04월 02일,"2,177.18",257.45M,560514.991K,0.41%
2019년 04월 01일,"2,168.28",263.31M,570929.8068K,1.29%
2019년 03월 29일,"2,140.67",364.62M,780531.0954K,0.59%
2019년 03월 28일,"2,128.10",288.04M,612977.924K,-0.82%
2019년 03월 27일,"2,145.62",363.17M,779224.8154K,-0.15%
2019년 03월 26일,"2,148.80",301.25M,647326K,0.18%
2019년 03월 25일,"2,144.86",307.07M,658622.1602K,-1.92%
2019년 03월 22일,"2,186.95",333.62M,729610.259K,0.09%
2019년 03월 21일,"2,184.88",342.75M,748867.62K,0.36%
2019년 03월 20일,"2,177.10",317.61M,691468.731K,-0.02%
2019년 03월 19일,"2,177.62",319.70M,696185.114K,-0.09%
2019년 03월 18일,"2,179.49",257.95M,562199.4455K,0.16%
2019년 03월 15일,"2,176.11",387.14M,842459.2254K,0.95%
2019년 03월 14일,"2,155.68",341.01M,735108.4368K,0.34%
2019년 03월 13일,"2,148.41",285.60M,613585.896K,-0.41%
2019년 03월 12일,"2,157.18",355.28M,766402.9104K,0.89%
2019년 03월 11일,"2,138.10",272.10M,581777.01K,0.03%
2019년 03월 08일,"2,137.44",313.31M,669681.3264K,-1.31%
2019년 03월 07일,"2,165.79",292.58M,633666.8382K,-0.45%
2019년 03월 06일,"2,175.60",328.94M,715641.864K,-0.17%
2019년 03월 05일,"2,179.23",313.14M,682404.0822K,-0.52%
2019년 03월 04일,"2,190.66",373.17M,817488.5922K,-0.22%
2019년 02월 28일,"2,195.44",510.02M,1119718.309K,-1.76%
2019년 02월 27일,"2,234.79",301.51M,673811.5329K,0.37%
2019년 02월 26일,"2,226.60",331.96M,739142.136K,-0.27%
2019년 02월 25일,"2,232.56",339.23M,757351.3288K,0.09%
2019년 02월 22일,"2,230.50",409.31M,912965.955K,0.08%
2019년 02월 21일,"2,228.66",382.51M,852484.7366K,-0.05%
2019년 02월 20일,"2,229.76",374.34M,834688.3584K,1.09%
2019년 02월 19일,"2,205.63",389.09M,858188.5767K,-0.24%
2019년 02월 18일,"2,210.89",314.37M,695037.4893K,0.67%
2019년 02월 15일,"2,196.09",400.59M,879731.6931K,-1.34%
2019년 02월 14일,"2,225.85",573.36M,1276213.356K,1.11%
2019년 02월 13일,"2,201.48",421.99M,929002.5452K,0.50%
2019년 02월 12일,"2,190.47",429.94M,941770.6718K,0.45%
2019년 02월 11일,"2,180.73",406.06M,885507.2238K,0.17%
2019년 02월 08일,"2,177.05",391.03M,851291.8615K,-1.20%
2019년 02월 07일,"2,203.42",427.84M,942711.2128K,0.00%
2019년 02월 01일,"2,203.46",479.38M,1056294.655K,-0.06%
2019년 01월 31일,"2,204.85",545.25M,1202194.463K,-0.06%
2019년 01월 30일,"2,206.20",480.39M,1059836.418K,1.05%
2019년 01월 29일,"2,183.36",552.59M,1206502.902K,0.28%
2019년 01월 28일,"2,177.30",371.62M,809128.226K,-0.02%
2019년 01월 25일,"2,177.73",410.00M,892869.3K,1.52%
2019년 01월 24일,"2,145.03",413.65M,887291.6595K,0.81%
2019년 01월 23일,"2,127.78",408.60M,869410.908K,0.47%
2019년 01월 22일,"2,117.77",419.44M,888277.4488K,-0.32%
2019년 01월 21일,"2,124.61",398.03M,845658.5183K,0.02%
2019년 01월 18일,"2,124.28",456.74M,970243.6472K,0.82%
