,종가,거래량,거래대금,변동 %
2009년 04월 30일,"1,369.36",811.76M,1111591.674K,2.31%
2009년 04월 29일,"1,338.42",599.34M,802168.6428K,2.94%
2009년 04월 28일,"1,300.24",759.04M,986934.1696K,-2.95%
2009년 04월 27일,"1,339.83",547.30M,733288.959K,-1.05%
2009년 04월 24일,"1,354.10",683.43M,925432.563K,-1.07%
2009년 04월 23일,"1,368.80",747.02M,1022520.976K,0.94%
2009년 04월 22일,"1,356.02",730.16M,990111.5632K,1.44%
2009년 04월 21일,"1,336.81",639.59M,855010.3079K,0.03%
2009년 04월 20일,"1,336.39",566.86M,757546.0354K,0.56%
2009년 04월 17일,"1,329.00",794.02M,1055252.58K,-0.58%
2009년 04월 16일,"1,336.72",746.71M,998142.1912K,0.27%
2009년 04월 15일,"1,333.09",815.70M,1087401.513K,-0.71%
2009년 04월 14일,"1,342.63",933.38M,1253183.989K,0.33%
2009년 04월 13일,"1,338.26",815.42M,1091243.969K,0.17%
2009년 04월 10일,"1,336.04",920.40M,1229691.216K,1.50%
2009년 04월 09일,"1,316.35",933.68M,1229049.668K,4.30%
2009년 04월 08일,"1,262.07",751.44M,948369.8808K,-2.93%
2009년 04월 07일,"1,300.10",686.78M,892882.678K,0.17%
2009년 04월 06일,"1,297.85",726.43M,942797.1755K,1.10%
2009년 04월 03일,"1,283.75",618.67M,794217.6125K,0.53%
2009년 04월 02일,"1,276.97",732.21M,935010.2037K,3.54%
2009년 04월 01일,"1,233.36",586.12M,722896.9632K,2.25%
2009년 03월 31일,"1,206.26",503.56M,607424.2856K,0.73%
2009년 03월 30일,"1,197.46",527.83M,632055.3118K,-3.24%
2009년 03월 27일,"1,237.51",702.35M,869165.1485K,-0.51%
2009년 03월 26일,"1,243.80",588.06M,731429.028K,1.20%
2009년 03월 25일,"1,229.02",495.05M,608426.351K,0.60%
2009년 03월 24일,"1,221.70",512.52M,626145.684K,1.85%
2009년 03월 23일,"1,199.50",461.58M,553665.21K,2.44%
2009년 03월 20일,"1,170.94",374.67M,438716.0898K,0.79%
2009년 03월 19일,"1,161.81",532.58M,618756.7698K,-0.70%
2009년 03월 18일,"1,169.95",520.43M,608877.0785K,0.52%
2009년 03월 17일,"1,163.88",726.95M,846082.566K,3.41%
2009년 03월 16일,"1,125.46",436.01M,490711.8146K,-0.05%
2009년 03월 13일,"1,126.03",506.18M,569973.8654K,-0.21%
2009년 03월 12일,"1,128.39",536.88M,605810.0232K,0.08%
2009년 03월 11일,"1,127.51",574.39M,647630.4689K,3.23%
2009년 03월 10일,"1,092.20",614.11M,670730.942K,1.91%
2009년 03월 09일,"1,071.73",457.91M,490755.8843K,1.58%
2009년 03월 06일,"1,055.03",465.73M,491359.1219K,-0.30%
2009년 03월 05일,"1,058.18",509.91M,539576.5638K,-0.10%
2009년 03월 04일,"1,059.26",490.79M,519874.2154K,3.29%
2009년 03월 03일,"1,025.57",543.38M,557274.2266K,0.66%
2009년 03월 02일,"1,018.81",413.95M,421736.3995K,-4.16%
2009년 02월 27일,"1,063.03",498.31M,529718.4793K,0.78%
2009년 02월 26일,"1,054.79",575.09M,606599.1811K,-1.15%
2009년 02월 25일,"1,067.08",735.37M,784698.6196K,0.30%
2009년 02월 24일,"1,063.88",576.30M,613114.044K,-3.24%
2009년 02월 23일,"1,099.55",396.06M,435487.773K,3.15%
2009년 02월 20일,"1,065.95",587.44M,626181.668K,-3.72%
2009년 02월 19일,"1,107.10",641.51M,710215.721K,-0.55%
2009년 02월 18일,"1,113.19",598.23M,665943.6537K,-1.24%
2009년 02월 17일,"1,127.19",546.44M,615941.7036K,-4.11%
2009년 02월 16일,"1,175.47",509.49M,598890.2103K,-1.42%
2009년 02월 13일,"1,192.44",574.85M,685474.134K,1.07%
2009년 02월 12일,"1,179.84",488.11M,575891.7024K,-0.87%
2009년 02월 11일,"1,190.18",469.85M,559206.073K,-0.72%
2009년 02월 10일,"1,198.87",468.81M,562042.2447K,-0.32%
2009년 02월 09일,"1,202.69",475.95M,572420.3055K,-0.63%
2009년 02월 06일,"1,210.26",570.79M,690804.3054K,2.75%
2009년 02월 05일,"1,177.88",463.56M,546018.0528K,-1.46%
2009년 02월 04일,"1,195.37",450.22M,538179.4814K,2.77%
2009년 02월 03일,"1,163.20",347.70M,404444.64K,1.42%
2009년 02월 02일,"1,146.95",374.57M,429613.0615K,-1.30%
2009년 01월 30일,"1,162.11",377.04M,438161.9544K,-0.38%
2009년 01월 29일,"1,166.56",384.74M,448822.2944K,0.74%
2009년 01월 28일,"1,157.98",345.27M,399815.7546K,5.91%
2009년 01월 23일,"1,093.40",268.19M,293238.946K,-2.05%
2009년 01월 22일,"1,116.23",346.83M,387142.0509K,1.14%
2009년 01월 21일,"1,103.61",334.56M,369223.7616K,-2.06%
2009년 01월 20일,"1,126.81",319.53M,360049.5993K,-2.07%
2009년 01월 19일,"1,150.65",370.32M,426108.708K,1.36%
2009년 01월 16일,"1,135.20",335.69M,381075.288K,2.15%
2009년 01월 15일,"1,111.34",366.48M,407283.8832K,-6.03%
2009년 01월 14일,"1,182.68",358.88M,424440.1984K,1.28%
2009년 01월 13일,"1,167.71",381.51M,445493.0421K,0.95%
2009년 01월 12일,"1,156.75",352.67M,407951.0225K,-2.05%
2009년 01월 09일,"1,180.96",443.54M,523802.9984K,-2.05%
2009년 01월 08일,"1,205.70",472.34M,569500.338K,-1.83%
2009년 01월 07일,"1,228.17",568.56M,698288.3352K,2.84%
2009년 01월 06일,"1,194.28",444.20M,530499.176K,1.76%
2009년 01월 05일,"1,173.57",414.76M,486749.8932K,1.40%
2009년 01월 02일,"1,157.40",340.78M,394418.772K,2.93%
2008년 12월 30일,"1,124.47",357.93M,402481.5471K,0.62%
2008년 12월 29일,"1,117.59",312.52M,349269.2268K,-0.02%
2008년 12월 26일,"1,117.86",345.55M,386276.523K,-0.94%
2008년 12월 24일,"1,128.51",407.84M,460251.5184K,-1.38%
2008년 12월 23일,"1,144.31",436.41M,499388.3271K,-2.99%
2008년 12월 22일,"1,179.61",450.64M,531579.4504K,-0.12%
2008년 12월 19일,"1,180.97",685.03M,808999.8791K,0.43%
2008년 12월 18일,"1,175.91",557.76M,655875.5616K,0.53%
2008년 12월 17일,"1,169.75",647.79M,757752.3525K,0.71%
2008년 12월 16일,"1,161.56",626.70M,727949.652K,0.29%
2008년 12월 15일,"1,158.19",485.36M,562139.0984K,4.93%
2008년 12월 12일,"1,103.82",622.30M,686907.186K,-4.38%
2008년 12월 11일,"1,154.43",576.70M,665759.781K,0.75%
2008년 12월 10일,"1,145.87",562.09M,644082.0683K,3.62%
2008년 12월 09일,"1,105.84",486.46M,537946.9264K,0.07%
2008년 12월 08일,"1,105.05",541.79M,598705.0395K,7.48%
2008년 12월 05일,"1,028.13",401.60M,412897.008K,2.14%
2008년 12월 04일,"1,006.54",402.24M,404870.6496K,-1.58%
2008년 12월 03일,"1,022.67",478.72M,489572.5824K,-0.05%
2008년 12월 02일,"1,023.20",421.11M,430879.752K,-3.35%
2008년 12월 01일,"1,058.62",627.34M,664114.6708K,-1.62%
2008년 11월 28일,"1,076.07",555.25M,597487.8675K,1.18%
2008년 11월 27일,"1,063.48",563.63M,599409.2324K,3.27%
2008년 11월 26일,"1,029.78",515.47M,530820.6966K,4.72%
2008년 11월 25일,983.32,486.15M,478041.018K,1.36%
2008년 11월 24일,970.14,464.19M,450329.2866K,-3.35%
2008년 11월 21일,"1,003.73",602.11M,604355.8703K,5.80%
2008년 11월 20일,948.69,424.07M,402310.9683K,-6.70%
2008년 11월 19일,"1,016.82",404.61M,411415.5402K,-1.87%
2008년 11월 18일,"1,036.16",377.42M,391067.5072K,-3.91%
2008년 11월 17일,"1,078.32",413.38M,445755.9216K,-0.91%
2008년 11월 14일,"1,088.26",440.49M,479367.6474K,-0.02%
2008년 11월 13일,"1,088.44",566.76M,616884.2544K,-3.15%
2008년 11월 12일,"1,123.86",605.66M,680677.0476K,-0.43%
2008년 11월 11일,"1,128.73",600.73M,678061.9729K,-2.06%
2008년 11월 10일,"1,152.46",717.48M,826867.0008K,1.58%
2008년 11월 07일,"1,134.49",846.31M,960130.2319K,3.87%
2008년 11월 06일,"1,092.22",657.63M,718276.6386K,-7.56%
2008년 11월 05일,"1,181.50",790.19M,933609.485K,2.44%
2008년 11월 04일,"1,153.35",603.57M,696127.4595K,2.15%
2008년 11월 03일,"1,129.08",568.25M,641599.71K,1.44%
2008년 10월 31일,"1,113.06",864.75M,962518.635K,2.61%
2008년 10월 30일,"1,084.72",621.63M,674294.4936K,11.95%
2008년 10월 29일,968.97,763.40M,739711.698K,-3.02%
2008년 10월 28일,999.16,649.43M,648884.4788K,5.57%
2008년 10월 27일,946.45,540.71M,511754.9795K,0.82%
2008년 10월 24일,938.75,443.16M,416016.45K,-10.57%
2008년 10월 23일,"1,049.71",401.51M,421469.0621K,-7.48%
2008년 10월 22일,"1,134.59",374.87M,425323.7533K,-5.14%
2008년 10월 21일,"1,196.10",389.19M,465510.159K,-0.95%
2008년 10월 20일,"1,207.63",373.02M,450470.1426K,2.28%
2008년 10월 17일,"1,180.67",420.18M,496093.9206K,-2.73%
2008년 10월 16일,"1,213.78",409.09M,496545.2602K,-9.44%
2008년 10월 15일,"1,340.28",347.68M,465988.5504K,-2.00%
2008년 10월 14일,"1,367.69",460.91M,630381.9979K,6.14%
2008년 10월 13일,"1,288.53",384.72M,495723.2616K,3.79%
2008년 10월 10일,"1,241.47",461.33M,572727.3551K,-4.13%
2008년 10월 09일,"1,294.89",451.81M,585044.2509K,0.64%
2008년 10월 08일,"1,286.69",431.46M,555155.2674K,-5.81%
2008년 10월 07일,"1,366.10",349.57M,477547.577K,0.54%
2008년 10월 06일,"1,358.75",312.41M,424487.0875K,-4.29%
2008년 10월 02일,"1,419.65",317.94M,451363.521K,-1.39%
2008년 10월 01일,"1,439.67",314.22M,452373.1074K,-0.58%
2008년 09월 30일,"1,448.06",412.81M,597773.6486K,-0.57%
2008년 09월 29일,"1,456.36",365.88M,532852.9968K,-1.35%
2008년 09월 26일,"1,476.33",405.92M,599271.8736K,-1.68%
2008년 09월 25일,"1,501.63",419.07M,629288.0841K,0.38%
2008년 09월 24일,"1,495.98",498.53M,745790.9094K,0.99%
2008년 09월 23일,"1,481.37",470.35M,696762.3795K,1.44%
2008년 09월 22일,"1,460.34",354.33M,517442.2722K,0.31%
2008년 09월 19일,"1,455.78",468.69M,682309.5282K,4.55%
2008년 09월 18일,"1,392.42",413.39M,575612.5038K,-2.30%
2008년 09월 17일,"1,425.26",398.28M,567652.5528K,2.70%
2008년 09월 16일,"1,387.75",392.77M,545066.5675K,-6.10%
2008년 09월 12일,"1,477.92",311.74M,460726.7808K,2.40%
2008년 09월 11일,"1,443.24",363.00M,523896.12K,-1.48%
2008년 09월 10일,"1,464.98",421.19M,617034.9262K,0.72%
2008년 09월 09일,"1,454.50",443.71M,645376.195K,-1.50%
2008년 09월 08일,"1,476.65",399.13M,589375.3145K,5.15%
2008년 09월 05일,"1,404.38",298.48M,419179.3424K,-1.55%
2008년 09월 04일,"1,426.43",372.86M,531858.6898K,-0.03%
2008년 09월 03일,"1,426.89",367.10M,523811.319K,1.40%
2008년 09월 02일,"1,407.14",373.37M,525383.8618K,-0.52%
2008년 09월 01일,"1,414.43",316.59M,447794.3937K,-4.06%
2008년 08월 29일,"1,474.24",242.10M,356913.504K,0.01%
2008년 08월 28일,"1,474.15",216.13M,318608.0395K,-1.32%
2008년 08월 27일,"1,493.92",241.56M,360871.3152K,0.25%
2008년 08월 26일,"1,490.25",213.14M,317631.885K,-0.79%
2008년 08월 25일,"1,502.11",198.26M,297808.3286K,0.35%
2008년 08월 22일,"1,496.91",226.29M,338735.7639K,-1.04%
2008년 08월 21일,"1,512.59",259.52M,392547.3568K,-1.83%
2008년 08월 20일,"1,540.71",243.67M,375424.8057K,-0.05%
2008년 08월 19일,"1,541.41",261.10M,402462.151K,-1.68%
2008년 08월 18일,"1,567.71",260.76M,408796.0596K,-0.28%
2008년 08월 14일,"1,572.19",247.61M,389289.9659K,0.61%
2008년 08월 13일,"1,562.72",231.58M,361894.6976K,-0.91%
2008년 08월 12일,"1,577.12",251.63M,396850.7056K,-0.25%
2008년 08월 11일,"1,581.09",254.54M,402450.6486K,0.79%
2008년 08월 08일,"1,568.72",221.29M,347142.0488K,0.30%
2008년 08월 07일,"1,564.00",219.02M,342547.28K,-0.93%
2008년 08월 06일,"1,578.71",276.65M,436750.1215K,2.81%
2008년 08월 05일,"1,535.54",244.78M,375869.4812K,-0.49%
2008년 08월 04일,"1,543.05",246.52M,380392.686K,-1.95%
2008년 08월 01일,"1,573.77",231.18M,363824.1486K,-1.31%
2008년 07월 31일,"1,594.67",233.01M,371574.0567K,1.08%
2008년 07월 30일,"1,577.70",265.70M,419194.89K,0.67%
2008년 07월 29일,"1,567.20",261.58M,409948.176K,-1.95%
2008년 07월 28일,"1,598.29",252.28M,403216.6012K,0.02%
2008년 07월 25일,"1,597.93",266.62M,426040.0966K,-1.73%
2008년 07월 24일,"1,626.14",347.69M,565392.6166K,2.16%
2008년 07월 23일,"1,591.76",351.64M,559726.4864K,1.96%
2008년 07월 22일,"1,561.23",252.50M,394210.575K,-0.11%
2008년 07월 21일,"1,562.92",296.05M,462702.466K,3.51%
2008년 07월 18일,"1,509.99",304.14M,459248.3586K,-1.02%
2008년 07월 17일,"1,525.56",319.70M,487721.532K,1.20%
2008년 07월 16일,"1,507.40",296.91M,447562.134K,-0.13%
2008년 07월 15일,"1,509.33",297.85M,449553.9405K,-3.16%
2008년 07월 14일,"1,558.62",257.13M,400767.9606K,-0.57%
2008년 07월 11일,"1,567.51",326.55M,511870.3905K,1.96%
2008년 07월 10일,"1,537.43",354.19M,544542.3317K,1.19%
2008년 07월 09일,"1,519.38",328.76M,499511.3688K,-0.92%
2008년 07월 08일,"1,533.47",332.01M,509127.3747K,-2.93%
2008년 07월 07일,"1,579.72",250.03M,394977.3916K,0.11%
2008년 07월 04일,"1,577.94",246.97M,389703.8418K,-1.78%
2008년 07월 03일,"1,606.54",352.00M,565502.08K,-1.05%
2008년 07월 02일,"1,623.60",335.99M,545513.364K,-2.57%
2008년 07월 01일,"1,666.46",278.02M,463309.2092K,-0.51%
2008년 06월 30일,"1,674.92",261.91M,438678.2972K,-0.57%
2008년 06월 27일,"1,684.45",285.31M,480590.4295K,-1.93%
2008년 06월 26일,"1,717.66",328.76M,564697.9016K,-0.01%
2008년 06월 25일,"1,717.79",345.35M,593238.7765K,0.41%
2008년 06월 24일,"1,710.84",364.19M,623070.8196K,-0.28%
2008년 06월 23일,"1,715.59",303.20M,520166.888K,-0.89%
2008년 06월 20일,"1,731.00",331.02M,572995.62K,-0.56%
2008년 06월 19일,"1,740.72",401.51M,698916.4872K,-1.88%
2008년 06월 18일,"1,774.13",343.04M,608597.5552K,1.34%
2008년 06월 17일,"1,750.71",334.94M,586382.8074K,-0.57%
2008년 06월 16일,"1,760.82",375.41M,661029.4362K,0.77%
2008년 06월 13일,"1,747.35",402.04M,702504.594K,0.46%
2008년 06월 12일,"1,739.36",379.81M,660626.3216K,-2.37%
2008년 06월 11일,"1,781.67",282.78M,503820.6426K,0.41%
2008년 06월 10일,"1,774.38",322.80M,572769.864K,-1.91%
2008년 06월 09일,"1,808.96",249.28M,450937.5488K,-1.27%
2008년 06월 05일,"1,832.31",274.96M,503811.9576K,-0.08%
2008년 06월 04일,"1,833.81",235.89M,432577.4409K,0.79%
2008년 06월 03일,"1,819.39",258.92M,471076.4588K,-1.52%
2008년 06월 02일,"1,847.53",234.49M,433227.3097K,-0.24%
2008년 05월 30일,"1,852.02",287.61M,532659.4722K,0.59%
2008년 05월 29일,"1,841.22",298.97M,550469.5434K,1.97%
2008년 05월 28일,"1,805.64",299.61M,540987.8004K,-1.07%
2008년 05월 27일,"1,825.23",260.27M,475052.6121K,1.37%
2008년 05월 26일,"1,800.58",281.85M,507493.473K,-1.50%
2008년 05월 23일,"1,827.94",299.06M,546663.7364K,-0.41%
2008년 05월 22일,"1,835.42",357.26M,655722.1492K,-0.65%
2008년 05월 21일,"1,847.51",315.98M,583776.2098K,-1.37%
2008년 05월 20일,"1,873.15",336.31M,629959.0765K,-0.65%
2008년 05월 19일,"1,885.37",356.00M,671191.72K,-0.19%
2008년 05월 16일,"1,888.88",301.67M,569818.4296K,0.17%
2008년 05월 15일,"1,885.71",414.80M,782192.508K,2.28%
2008년 05월 14일,"1,843.75",297.69M,548865.9375K,0.05%
2008년 05월 13일,"1,842.80",265.30M,488894.84K,1.05%
2008년 05월 09일,"1,823.70",280.07M,510763.659K,-1.31%
2008년 05월 08일,"1,848.00",319.21M,589900.08K,-0.32%
2008년 05월 07일,"1,854.01",384.07M,712069.6207K,-0.27%
2008년 05월 06일,"1,859.06",303.69M,564577.9314K,0.58%
2008년 05월 02일,"1,848.27",267.83M,495022.1541K,1.25%
2008년 04월 30일,"1,825.47",244.97M,447185.3859K,0.77%
2008년 04월 29일,"1,811.51",272.36M,493382.8636K,-0.64%
2008년 04월 28일,"1,823.17",371.63M,677544.6671K,-0.08%
2008년 04월 25일,"1,824.68",328.04M,598568.0272K,1.41%
2008년 04월 24일,"1,799.34",497.25M,894721.815K,-0.08%
2008년 04월 23일,"1,800.79",340.43M,613042.9397K,0.74%
2008년 04월 22일,"1,787.49",346.70M,619722.783K,-0.72%
2008년 04월 21일,"1,800.48",299.02M,538379.5296K,1.61%
2008년 04월 18일,"1,771.90",237.57M,420950.283K,0.18%
2008년 04월 17일,"1,768.67",265.02M,468732.9234K,0.57%
2008년 04월 16일,"1,758.56",286.33M,503528.4848K,0.94%
2008년 04월 15일,"1,742.17",238.47M,415455.2799K,-0.26%
2008년 04월 14일,"1,746.71",223.46M,390319.8166K,-1.85%
2008년 04월 11일,"1,779.71",272.36M,484721.8156K,0.85%
2008년 04월 10일,"1,764.64",214.92M,379256.4288K,0.57%
2008년 04월 08일,"1,754.71",267.23M,468911.1533K,-1.06%
2008년 04월 07일,"1,773.56",275.34M,488332.0104K,0.40%
2008년 04월 04일,"1,766.49",256.80M,453634.632K,0.16%
2008년 04월 03일,"1,763.63",253.83M,447662.2029K,1.23%
2008년 04월 02일,"1,742.19",326.49M,568807.6131K,2.35%
2008년 04월 01일,"1,702.25",320.40M,545400.9K,-0.10%
2008년 03월 31일,"1,703.99",291.72M,497087.9628K,0.13%
2008년 03월 28일,"1,701.83",350.47M,596440.3601K,1.53%
2008년 03월 27일,"1,676.24",257.89M,432285.5336K,-0.20%
2008년 03월 26일,"1,679.67",280.42M,471013.0614K,0.28%
2008년 03월 25일,"1,674.93",319.95M,535893.8535K,1.19%
2008년 03월 24일,"1,655.30",258.05M,427150.165K,0.58%
2008년 03월 21일,"1,645.69",283.94M,467277.2186K,1.37%
2008년 03월 20일,"1,623.39",243.41M,395149.3599K,0.07%
2008년 03월 19일,"1,622.23",280.39M,454857.0697K,2.11%
2008년 03월 18일,"1,588.75",243.06M,386161.575K,0.91%
2008년 03월 17일,"1,574.44",298.74M,470348.2056K,-1.61%
2008년 03월 14일,"1,600.26",297.67M,476349.3942K,-0.95%
2008년 03월 13일,"1,615.62",309.59M,500179.7958K,-2.60%
2008년 03월 12일,"1,658.83",325.28M,539584.2224K,1.06%
2008년 03월 11일,"1,641.48",279.83M,459335.3484K,1.00%
2008년 03월 10일,"1,625.17",318.10M,516966.577K,-2.33%
2008년 03월 07일,"1,663.97",304.21M,506196.3137K,-1.97%
2008년 03월 06일,"1,697.44",359.69M,610552.1936K,1.21%
2008년 03월 05일,"1,677.10",263.58M,442050.018K,0.05%
2008년 03월 04일,"1,676.18",278.57M,466933.4626K,0.27%
2008년 03월 03일,"1,671.73",237.09M,396350.4657K,-2.33%
2008년 02월 29일,"1,711.62",315.82M,540563.8284K,-1.41%
2008년 02월 28일,"1,736.17",257.44M,446959.6048K,0.89%
2008년 02월 27일,"1,720.89",306.57M,527573.2473K,0.69%
2008년 02월 26일,"1,709.13",283.72M,484914.3636K,0.00%
2008년 02월 25일,"1,709.13",299.19M,511354.6047K,1.34%
2008년 02월 22일,"1,686.45",281.41M,474583.8945K,-1.05%
2008년 02월 21일,"1,704.36",241.93M,412335.8148K,0.97%
2008년 02월 20일,"1,687.91",321.61M,542848.7351K,-1.90%
2008년 02월 19일,"1,720.52",362.83M,624256.2716K,1.43%
2008년 02월 18일,"1,696.24",374.01M,634410.7224K,0.09%
2008년 02월 15일,"1,694.77",485.52M,822844.7304K,-0.16%
2008년 02월 14일,"1,697.45",503.95M,855429.9275K,4.02%
2008년 02월 13일,"1,631.78",318.95M,520456.231K,-0.70%
2008년 02월 12일,"1,643.29",291.25M,478608.2125K,0.16%
2008년 02월 11일,"1,640.67",234.30M,384408.981K,-3.29%
2008년 02월 05일,"1,696.57",253.90M,430759.123K,0.38%
2008년 02월 04일,"1,690.13",333.08M,562948.5004K,3.40%
2008년 02월 01일,"1,634.53",308.09M,503582.3477K,0.61%
2008년 01월 31일,"1,624.68",334.13M,542854.3284K,2.24%
2008년 01월 30일,"1,589.06",380.52M,604669.1112K,-2.98%
2008년 01월 29일,"1,637.91",275.31M,450933.0021K,0.66%
2008년 01월 28일,"1,627.19",259.31M,421946.6389K,-3.85%
2008년 01월 25일,"1,692.41",272.61M,461367.8901K,1.77%
2008년 01월 24일,"1,663.00",270.63M,450057.69K,2.12%
2008년 01월 23일,"1,628.42",272.14M,443158.2188K,1.21%
2008년 01월 22일,"1,609.02",316.87M,509850.1674K,-4.43%
2008년 01월 21일,"1,683.56",286.06M,481599.1736K,-2.95%
2008년 01월 18일,"1,734.72",287.71M,499096.2912K,0.65%
2008년 01월 17일,"1,723.55",296.03M,510222.5065K,1.09%
2008년 01월 16일,"1,704.97",295.61M,504006.1817K,-2.40%
2008년 01월 15일,"1,746.95",295.55M,516311.0725K,-1.07%
2008년 01월 14일,"1,765.88",249.32M,440269.2016K,-0.92%
2008년 01월 11일,"1,782.27",280.82M,500497.0614K,-2.33%
2008년 01월 10일,"1,824.78",315.48M,575681.5944K,-1.07%
2008년 01월 09일,"1,844.47",277.67M,512153.9849K,1.00%
2008년 01월 08일,"1,826.23",296.57M,541605.0311K,-0.27%
2008년 01월 07일,"1,831.14",268.13M,490983.5682K,-1.76%
2008년 01월 04일,"1,863.90",299.08M,557455.212K,0.60%
2008년 01월 03일,"1,852.73",253.67M,469982.0191K,-0.04%
2008년 01월 02일,"1,853.45",247.09M,457968.9605K,-2.30%
2007년 12월 28일,"1,897.13",229.42M,435239.5646K,-0.60%
2007년 12월 27일,"1,908.62",235.85M,450148.027K,0.10%
2007년 12월 26일,"1,906.72",260.98M,497615.7856K,-0.66%
2007년 12월 24일,"1,919.47",317.06M,608587.1582K,2.19%
2007년 12월 21일,"1,878.32",362.58M,681041.2656K,1.84%
2007년 12월 20일,"1,844.37",401.82M,741104.7534K,-0.92%
2007년 12월 18일,"1,861.47",277.04M,515701.6488K,1.18%
2007년 12월 17일,"1,839.82",282.47M,519693.9554K,-2.91%
2007년 12월 14일,"1,895.05",301.46M,571281.773K,-1.09%
2007년 12월 13일,"1,915.90",328.59M,629545.581K,-0.60%
2007년 12월 12일,"1,927.45",314.55M,606279.3975K,0.12%
2007년 12월 11일,"1,925.07",264.53M,509238.7671K,0.98%
2007년 12월 10일,"1,906.42",284.76M,542872.1592K,-1.44%
2007년 12월 07일,"1,934.32",361.15M,698579.668K,-0.97%
2007년 12월 06일,"1,953.17",339.17M,662456.6689K,0.77%
2007년 12월 05일,"1,938.20",310.28M,601384.696K,1.06%
2007년 12월 04일,"1,917.83",288.56M,553409.0248K,0.81%
2007년 12월 03일,"1,902.43",291.55M,554653.4665K,-0.19%
2007년 11월 30일,"1,906.00",339.31M,646724.86K,1.51%
2007년 11월 29일,"1,877.56",347.70M,652827.612K,2.34%
2007년 11월 28일,"1,834.69",324.84M,595980.6996K,-1.35%
2007년 11월 27일,"1,859.79",338.31M,629185.5549K,0.24%
2007년 11월 26일,"1,855.33",290.92M,539752.6036K,4.65%
2007년 11월 23일,"1,772.88",326.67M,579146.7096K,-1.45%
2007년 11월 22일,"1,799.02",306.22M,550895.9044K,-0.44%
2007년 11월 21일,"1,806.99",307.45M,555559.0755K,-3.49%
2007년 11월 20일,"1,872.24",331.76M,621134.3424K,-1.12%
2007년 11월 19일,"1,893.47",292.32M,553499.1504K,-1.70%
2007년 11월 16일,"1,926.20",304.26M,586065.612K,-1.11%
2007년 11월 15일,"1,947.74",367.68M,716145.0432K,-1.26%
2007년 11월 14일,"1,972.58",362.09M,714251.4922K,2.05%
2007년 11월 13일,"1,932.89",394.90M,763298.261K,0.49%
2007년 11월 12일,"1,923.42",312.69M,601434.1998K,-3.37%
2007년 11월 09일,"1,990.47",366.61M,729726.2067K,0.55%
2007년 11월 08일,"1,979.56",330.64M,654521.7184K,-3.11%
2007년 11월 07일,"2,043.19",339.57M,693806.0283K,-0.54%
2007년 11월 06일,"2,054.24",312.25M,641436.44K,1.91%
2007년 11월 05일,"2,015.76",300.21M,605151.3096K,-0.18%
2007년 11월 02일,"2,019.34",388.39M,784291.4626K,-2.12%
2007년 11월 01일,"2,063.14",401.96M,829299.7544K,-0.08%
2007년 10월 31일,"2,064.85",365.44M,754578.784K,0.61%
2007년 10월 30일,"2,052.37",402.15M,825360.5955K,-0.51%
2007년 10월 29일,"2,062.92",481.23M,992738.9916K,1.72%
2007년 10월 26일,"2,028.06",438.86M,890034.4116K,2.60%
2007년 10월 25일,"1,976.75",453.61M,896673.5675K,2.24%
2007년 10월 24일,"1,933.36",481.13M,930197.4968K,-0.75%
2007년 10월 23일,"1,947.98",371.17M,723031.7366K,2.32%
2007년 10월 22일,"1,903.81",354.48M,674862.5688K,-3.36%
2007년 10월 19일,"1,970.10",390.28M,768890.628K,-1.75%
2007년 10월 18일,"2,005.09",426.88M,855932.8192K,1.07%
2007년 10월 17일,"1,983.94",507.31M,1006472.601K,-1.09%
2007년 10월 16일,"2,005.76",548.71M,1100580.57K,-1.46%
2007년 10월 15일,"2,035.39",383.87M,781325.1593K,0.44%
2007년 10월 12일,"2,026.44",456.90M,925880.436K,-1.57%
2007년 10월 11일,"2,058.85",519.17M,1068893.155K,0.87%
2007년 10월 10일,"2,041.12",368.71M,752581.3552K,1.34%
2007년 10월 09일,"2,014.13",471.52M,949702.5776K,0.07%
2007년 10월 08일,"2,012.82",504.20M,1014863.844K,0.84%
2007년 10월 05일,"1,996.03",380.39M,759269.8517K,-0.38%
2007년 10월 04일,"2,003.60",462.56M,926785.216K,-0.52%
2007년 10월 02일,"2,014.09",473.92M,954517.5328K,2.62%
2007년 10월 01일,"1,962.67",436.10M,855920.387K,0.83%
2007년 09월 28일,"1,946.48",541.69M,1054388.751K,0.06%
2007년 09월 27일,"1,945.28",394.52M,767451.8656K,1.36%
2007년 09월 21일,"1,919.26",440.06M,844589.5556K,0.54%
2007년 09월 20일,"1,908.97",441.85M,843478.3945K,0.33%
2007년 09월 19일,"1,902.65",480.11M,913481.2915K,3.48%
2007년 09월 18일,"1,838.61",403.84M,742504.2624K,-1.77%
2007년 09월 17일,"1,871.68",315.81M,591095.2608K,0.09%
2007년 09월 14일,"1,870.02",373.10M,697704.462K,1.19%
2007년 09월 13일,"1,848.02",338.42M,625406.9284K,1.90%
2007년 09월 12일,"1,813.52",433.94M,786958.8688K,-1.83%
2007년 09월 11일,"1,847.36",420.50M,776814.88K,0.63%
2007년 09월 10일,"1,835.87",360.19M,661262.0153K,-2.60%
2007년 09월 07일,"1,884.90",392.54M,739898.646K,-0.21%
2007년 09월 06일,"1,888.81",447.29M,844845.8249K,1.24%
2007년 09월 05일,"1,865.59",382.86M,714259.7874K,-0.49%
