기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.1/4	중구	동화동	4,198	11,214	5,397	5,817	11,038	5,316	5,722	176	81	95	2.63	1,709
2019.1/4	용산구	소계	109,413	245,139	119,597	125,542	229,168	110,626	118,542	15,971	8,971	7,000	2.09	38,049
2019.1/4	용산구	후암동	8,560	18,694	9,118	9,576	18,146	8,822	9,324	548	296	252	2.12	2,972
2019.1/4	용산구	용산2가동	5,506	12,000	5,868	6,132	10,646	5,143	5,503	1,354	725	629	1.93	2,053
2019.1/4	용산구	남영동	5,436	8,508	5,140	3,368	7,846	4,814	3,032	662	326	336	1.44	1,567
2019.1/4	용산구	원효로2동	6,029	14,976	7,021	7,955	14,822	6,962	7,860	154	59	95	2.46	2,312
2019.1/4	용산구	효창동	3,750	9,078	4,316	4,762	8,967	4,266	4,701	111	50	61	2.39	1,300
2019.1/4	용산구	용문동	5,376	12,744	6,096	6,648	12,610	6,035	6,575	134	61	73	2.35	1,991
2019.1/4	용산구	이촌1동	10,253	29,284	13,737	15,547	28,306	13,217	15,089	978	520	458	2.76	4,355
2019.1/4	용산구	이촌2동	3,857	9,055	4,251	4,804	8,949	4,205	4,744	106	46	60	2.32	1,702
2019.1/4	용산구	이태원1동	3,834	9,166	4,822	4,344	7,029	3,329	3,700	2,137	1,493	644	1.83	1,530
2019.1/4	용산구	이태원2동	4,946	10,898	5,132	5,766	9,428	4,360	5,068	1,470	772	698	1.91	1,867
2019.1/4	용산구	서빙고동	5,310	14,282	6,930	7,352	13,499	6,525	6,974	783	405	378	2.54	2,053
2019.1/4	용산구	보광동	7,742	16,141	8,128	8,013	14,817	7,264	7,553	1,324	864	460	1.91	2,696
2019.1/4	용산구	청파동	10,637	20,956	9,841	11,115	20,053	9,547	10,506	903	294	609	1.89	3,254
2019.1/4	용산구	원효로1동	7,530	16,266	7,887	8,379	15,636	7,559	8,077	630	328	302	2.08	1,869
2019.1/4	용산구	한강로동	9,593	19,354	9,441	9,913	17,824	8,619	9,205	1,530	822	708	1.86	2,996
2019.1/4	용산구	한남동	11,054	23,737	11,869	11,868	20,590	9,959	10,631	3,147	1,910	1,237	1.86	3,532
2019.1/4	성동구	소계	137,247	314,608	154,011	160,597	306,404	150,287	156,117	8,204	3,724	4,480	2.23	43,076
2019.1/4	성동구	왕십리2동	7,695	18,110	8,805	9,305	17,734	8,639	9,095	376	166	210	2.3	2,440
2019.1/4	성동구	마장동	10,805	24,175	11,864	12,311	23,501	11,600	11,901	674	264	410	2.18	3,538
2019.1/4	성동구	사근동	7,428	13,658	6,768	6,890	11,790	6,072	5,718	1,868	696	1,172	1.59	1,424
2019.1/4	성동구	행당1동	7,358	16,767	8,151	8,616	16,282	7,931	8,351	485	220	265	2.21	2,279
2019.1/4	성동구	행당2동	9,499	24,924	11,717	13,207	24,830	11,677	13,153	94	40	54	2.61	3,439
2019.1/4	성동구	응봉동	6,174	16,284	7,712	8,572	16,223	7,690	8,533	61	22	39	2.63	2,377
2019.1/4	성동구	금호1가동	6,632	16,132	7,717	8,415	16,033	7,670	8,363	99	47	52	2.42	2,329
2019.1/4	성동구	금호4가동	6,518	15,376	7,370	8,006	15,223	7,300	7,923	153	70	83	2.34	2,136
2019.1/4	성동구	성수1가1동	7,640	17,488	8,789	8,699	17,177	8,608	8,569	311	181	130	2.25	2,008
2019.1/4	성동구	성수1가2동	7,134	15,588	7,772	7,816	15,139	7,542	7,597	449	230	219	2.12	1,991
2019.1/4	성동구	성수2가1동	8,607	18,252	9,476	8,776	17,513	9,120	8,393	739	356	383	2.03	2,670
2019.1/4	성동구	성수2가3동	5,715	11,902	6,156	5,746	11,543	5,943	5,600	359	213	146	2.02	1,720
2019.1/4	성동구	송정동	5,586	11,715	6,216	5,499	11,216	5,969	5,247	499	247	252	2.01	1,642
2019.1/4	성동구	용답동	7,440	14,737	7,788	6,949	13,698	7,292	6,406	1,039	496	543	1.84	2,291
2019.1/4	성동구	왕십리도선동	11,754	27,886	13,298	14,588	27,377	13,072	14,305	509	226	283	2.33	3,391
2019.1/4	성동구	금호2.3가동	10,336	24,361	11,617	12,744	24,157	11,527	12,630	204	90	114	2.34	3,696
2019.1/4	성동구	옥수동	10,926	27,253	12,795	14,458	26,968	12,635	14,333	285	160	125	2.47	3,705
2019.1/4	광진구	소계	163,460	370,658	179,162	191,496	354,873	172,361	182,512	15,785	6,801	8,984	2.17	46,288
2019.1/4	광진구	화양동	15,772	25,278	11,622	13,656	21,794	10,453	11,341	3,484	1,169	2,315	1.38	2,193
2019.1/4	광진구	군자동	10,453	22,113	10,863	11,250	19,932	9,850	10,082	2,181	1,013	1,168	1.91	2,768
2019.1/4	광진구	중곡1동	7,988	16,506	8,106	8,400	16,057	7,908	8,149	449	198	251	2.01	2,273
2019.1/4	광진구	중곡2동	10,315	22,687	10,916	11,771	22,327	10,752	11,575	360	164	196	2.16	2,930
2019.1/4	광진구	중곡3동	8,502	17,776	8,801	8,975	17,538	8,717	8,821	238	84	154	2.06	2,563
2019.1/4	광진구	중곡4동	13,156	30,856	15,193	15,663	30,466	15,029	15,437	390	164	226	2.32	4,485
2019.1/4	광진구	능동	6,184	11,882	5,504	6,378	11,531	5,337	6,194	351	167	184	1.86	1,483
2019.1/4	광진구	구의1동	11,683	23,274	11,109	12,165	22,521	10,752	11,769	753	357	396	1.93	2,921
2019.1/4	광진구	구의2동	11,533	28,093	13,581	14,512	27,660	13,392	14,268	433	189	244	2.4	3,901
2019.1/4	광진구	구의3동	12,194	30,418	14,496	15,922	30,091	14,350	15,741	327	146	181	2.47	3,579
2019.1/4	광진구	광장동	12,002	36,197	17,544	18,653	36,036	17,476	18,560	161	68	93	3	3,413
2019.1/4	광진구	자양1동	11,427	24,416	11,764	12,652	23,226	11,221	12,005	1,190	543	647	2.03	3,120
2019.1/4	광진구	자양2동	11,272	27,389	13,447	13,942	26,966	13,253	13,713	423	194	229	2.39	3,541
2019.1/4	광진구	자양3동	11,066	29,887	14,387	15,500	29,580	14,254	15,326	307	133	174	2.67	3,623
2019.1/4	광진구	자양4동	9,913	23,886	11,829	12,057	19,148	9,617	9,531	4,738	2,212	2,526	1.93	3,495
2019.1/4	동대문구	소계	162,228	363,262	179,100	184,162	346,750	172,784	173,966	16,512	6,316	10,196	2.14	57,570
2019.1/4	동대문구	회기동	5,959	13,031	5,870	7,161	10,332	4,924	5,408	2,699	946	1,753	1.73	1,465
2019.1/4	동대문구	휘경1동	6,795	14,509	7,062	7,447	12,770	6,403	6,367	1,739	659	1,080	1.88	2,201
2019.1/4	동대문구	휘경2동	11,412	25,271	12,417	12,854	24,643	12,195	12,448	628	222	406	2.16	3,591
2019.1/4	동대문구	청량리동	10,533	22,398	11,214	11,184	21,728	10,895	10,833	670	319	351	2.06	5,087
