기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1993	서울특별시	11월	남자	102,528	110,311	76,176	…	…	…	26,352	34,135	-7,783
1993	서울특별시	11월	여자	100,805	108,054	75,103	…	…	…	25,702	32,951	-7,249
1993	서울특별시	12월	합계	171,318	185,317	123,382	…	…	…	47,936	61,935	-13,999
1993	서울특별시	12월	남자	85,175	92,789	61,499	…	…	…	23,676	31,290	-7,614
1993	서울특별시	12월	여자	86,143	92,528	61,883	…	…	…	24,260	30,645	-6,385
1994	서울특별시	합계	합계	2,240,086	2,476,583	1,666,106	…	…	…	573,980	810,477	-236,497
1994	서울특별시	합계	남자	1,125,058	1,249,008	836,685	…	…	…	288,373	412,323	-123,950
1994	서울특별시	합계	여자	1,115,028	1,227,575	829,421	…	…	…	285,607	398,154	-112,547
1994	서울특별시	1월	합계	132,633	135,831	89,857	…	…	…	42,776	45,974	-3,198
1994	서울특별시	1월	남자	66,440	68,799	45,271	…	…	…	21,169	23,528	-2,359
1994	서울특별시	1월	여자	66,193	67,032	44,586	…	…	…	21,607	22,446	-839
1994	서울특별시	2월	합계	151,446	155,701	103,330	…	…	…	48,116	52,371	-4,255
1994	서울특별시	2월	남자	76,117	78,304	51,997	…	…	…	24,120	26,307	-2,187
1994	서울특별시	2월	여자	75,329	77,397	51,333	…	…	…	23,996	26,064	-2,068
1994	서울특별시	3월	합계	242,795	255,236	175,839	…	…	…	66,956	79,397	-12,441
1994	서울특별시	3월	남자	123,371	129,872	89,223	…	…	…	34,148	40,649	-6,501
1994	서울특별시	3월	여자	119,424	125,364	86,616	…	…	…	32,808	38,748	-5,940
1994	서울특별시	4월	합계	249,172	262,024	189,462	…	…	…	59,710	72,562	-12,852
1994	서울특별시	4월	남자	126,417	132,973	95,896	…	…	…	30,521	37,077	-6,556
1994	서울특별시	4월	여자	122,755	129,051	93,566	…	…	…	29,189	35,485	-6,296
1994	서울특별시	5월	합계	216,433	237,332	165,185	…	…	…	51,248	72,147	-20,899
1994	서울특별시	5월	남자	109,054	119,876	83,240	…	…	…	25,814	36,636	-10,822
1994	서울특별시	5월	여자	107,379	117,456	81,945	…	…	…	25,434	35,511	-10,077
1994	서울특별시	6월	합계	186,007	213,064	140,823	…	…	…	45,184	72,241	-27,057
1994	서울특별시	6월	남자	92,574	106,742	70,191	…	…	…	22,383	36,551	-14,168
1994	서울특별시	6월	여자	93,433	106,322	70,632	…	…	…	22,801	35,690	-12,889
1994	서울특별시	7월	합계	149,071	168,236	112,470	…	…	…	36,601	55,766	-19,165
1994	서울특별시	7월	남자	74,883	85,439	56,660	…	…	…	18,223	28,779	-10,556
1994	서울특별시	7월	여자	74,188	82,797	55,810	…	…	…	18,378	26,987	-8,609
1994	서울특별시	8월	합계	153,587	173,488	113,563	…	…	…	40,024	59,925	-19,901
1994	서울특별시	8월	남자	76,825	87,450	56,893	…	…	…	19,932	30,557	-10,625
1994	서울특별시	8월	여자	76,762	86,038	56,670	…	…	…	20,092	29,368	-9,276
1994	서울특별시	9월	합계	151,533	173,690	114,380	…	…	…	37,153	59,310	-22,157
1994	서울특별시	9월	남자	76,027	87,610	57,346	…	…	…	18,681	30,264	-11,583
1994	서울특별시	9월	여자	75,506	86,080	57,034	…	…	…	18,472	29,046	-10,574
1994	서울특별시	10월	합계	193,368	216,608	146,285	…	…	…	47,083	70,323	-23,240
1994	서울특별시	10월	남자	98,005	109,470	73,616	…	…	…	24,389	35,854	-11,465
1994	서울특별시	10월	여자	95,363	107,138	72,669	…	…	…	22,694	34,469	-11,775
1994	서울특별시	11월	합계	203,258	233,618	158,237	…	…	…	45,021	75,381	-30,360
1994	서울특별시	11월	남자	102,062	117,703	79,350	…	…	…	22,712	38,353	-15,641
1994	서울특별시	11월	여자	101,196	115,915	78,887	…	…	…	22,309	37,028	-14,719
1994	서울특별시	12월	합계	210,783	251,755	156,675	…	…	…	54,108	95,080	-40,972
1994	서울특별시	12월	남자	103,283	124,770	77,002	…	…	…	26,281	47,768	-21,487
1994	서울특별시	12월	여자	107,500	126,985	79,673	…	…	…	27,827	47,312	-19,485
1995	서울특별시	합계	합계	2,165,332	2,487,230	1,603,840	674,852	928,988	928,988	561,492	883,390	-321,898
1995	서울특별시	합계	남자	1,085,639	1,251,941	805,746	339,844	465,902	465,902	279,893	446,195	-166,302
1995	서울특별시	합계	여자	1,079,693	1,235,289	798,094	335,008	463,086	463,086	281,599	437,195	-155,596
1995	서울특별시	1월	합계	119,925	142,147	84,563	30,997	53,566	53,566	35,362	57,584	-22,222
1995	서울특별시	1월	남자	59,607	71,360	42,322	15,658	26,664	26,664	17,285	29,038	-11,753
1995	서울특별시	1월	여자	60,318	70,787	42,241	15,339	26,902	26,902	18,077	28,546	-10,469
1995	서울특별시	2월	합계	141,161	164,537	95,902	35,962	59,940	59,940	45,259	68,635	-23,376
1995	서울특별시	2월	남자	70,724	82,756	48,067	17,999	30,068	30,068	22,657	34,689	-12,032
1995	서울특별시	2월	여자	70,437	81,781	47,835	17,963	29,872	29,872	22,602	33,946	-11,344
1995	서울특별시	3월	합계	216,844	244,842	158,222	69,127	89,095	89,095	58,622	86,620	-27,998
1995	서울특별시	3월	남자	109,806	124,223	79,903	34,777	45,126	45,126	29,903	44,320	-14,417
1995	서울특별시	3월	여자	107,038	120,619	78,319	34,350	43,969	43,969	28,719	42,300	-13,581
1995	서울특별시	4월	합계	238,200	256,058	181,120	81,263	99,857	99,857	57,080	74,938	-17,858
1995	서울특별시	4월	남자	120,902	129,969	91,746	41,169	50,577	50,577	29,156	38,223	-9,067
1995	서울특별시	4월	여자	117,298	126,089	89,374	40,094	49,280	49,280	27,924	36,715	-8,791
1995	서울특별시	5월	합계	256,430	299,298	195,234	86,633	108,601	108,601	61,196	104,064	-42,868
1995	서울특별시	5월	남자	128,953	150,693	98,196	43,499	54,697	54,697	30,757	52,497	-21,740
1995	서울특별시	5월	여자	127,477	148,605	97,038	43,134	53,904	53,904	30,439	51,567	-21,128
1995	서울특별시	6월	합계	174,090	201,052	130,830	56,215	74,615	74,615	43,260	70,222	-26,962
1995	서울특별시	6월	남자	85,809	99,628	64,840	28,123	36,717	36,717	20,969	34,788	-13,819
1995	서울특별시	6월	여자	88,281	101,424	65,990	28,092	37,898	37,898	22,291	35,434	-13,143
1995	서울특별시	7월	합계	154,908	175,487	116,199	47,440	68,759	68,759	38,709	59,288	-20,579
1995	서울특별시	7월	남자	77,106	88,136	57,945	23,960	33,985	33,985	19,161	30,191	-11,030
1995	서울특별시	7월	여자	77,802	87,351	58,254	23,480	34,774	34,774	19,548	29,097	-9,549
1995	서울특별시	8월	합계	153,737	183,432	112,488	45,649	66,839	66,839	41,249	70,944	-29,695
1995	서울특별시	8월	남자	76,860	92,266	56,310	22,950	33,360	33,360	20,550	35,956	-15,406
1995	서울특별시	8월	여자	76,877	91,166	56,178	22,699	33,479	33,479	20,699	34,988	-14,289
1995	서울특별시	9월	합계	148,293	170,416	108,798	46,063	62,735	62,735	39,495	61,618	-22,123
1995	서울특별시	9월	남자	74,961	86,610	55,141	23,431	31,710	31,710	19,820	31,469	-11,649
1995	서울특별시	9월	여자	73,332	83,806	53,657	22,632	31,025	31,025	19,675	30,149	-10,474
1995	서울특별시	10월	합계	210,383	238,948	158,424	68,434	89,990	89,990	51,959	80,524	-28,565
1995	서울특별시	10월	남자	106,681	121,147	80,365	34,578	45,787	45,787	26,316	40,782	-14,466
1995	서울특별시	10월	여자	103,702	117,801	78,059	33,856	44,203	44,203	25,643	39,742	-14,099
1995	서울특별시	11월	합계	195,268	229,668	147,720	62,354	85,366	85,366	47,548	81,948	-34,400
1995	서울특별시	11월	남자	97,714	115,635	74,335	31,328	43,007	43,007	23,379	41,300	-17,921
1995	서울특별시	11월	여자	97,554	114,033	73,385	31,026	42,359	42,359	24,169	40,648	-16,479
1995	서울특별시	12월	합계	156,093	181,345	114,340	44,715	69,625	69,625	41,753	67,005	-25,252
1995	서울특별시	12월	남자	76,516	89,518	56,576	22,372	34,204	34,204	19,940	32,942	-13,002
1995	서울특별시	12월	여자	79,577	91,827	57,764	22,343	35,421	35,421	21,813	34,063	-12,250
1995	종로구	합계	합계	38,043	49,716	27,573	9,592	17,981	26,360	10,470	13,764	-11,673
1995	종로구	합계	남자	19,321	25,090	13,923	4,895	9,028	13,171	5,398	7,024	-5,769
1995	종로구	합계	여자	18,722	24,626	13,650	4,697	8,953	13,189	5,072	6,740	-5,904
1995	종로구	1월	합계	2,179	2,868	1,506	419	1,087	1,439	673	1,010	-689
1995	종로구	1월	남자	1,073	1,385	738	207	531	694	335	484	-312
1995	종로구	1월	여자	1,106	1,483	768	212	556	745	338	526	-377
1995	종로구	2월	합계	2,625	3,308	1,779	590	1,189	1,617	846	1,101	-683
1995	종로구	2월	남자	1,366	1,692	931	308	623	811	435	573	-326
1995	종로구	2월	여자	1,259	1,616	848	282	566	806	411	528	-357
1995	종로구	3월	합계	4,075	4,882	2,988	1,133	1,855	2,414	1,087	1,335	-807
1995	종로구	3월	남자	2,056	2,482	1,496	569	927	1,225	560	688	-426
1995	종로구	3월	여자	2,019	2,400	1,492	564	928	1,189	527	647	-381
1995	종로구	4월	합계	4,108	5,191	3,011	1,136	1,875	2,903	1,097	1,152	-1,083
1995	종로구	4월	남자	2,118	2,638	1,540	582	958	1,447	578	609	-520
1995	종로구	4월	여자	1,990	2,553	1,471	554	917	1,456	519	543	-563
1995	종로구	5월	합계	4,865	6,206	3,544	1,392	2,152	3,177	1,321	1,637	-1,341
