기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2005	용산구	4월	여자	2,010	1,956	1,399	518	881	853	611	585	54
2005	용산구	5월	합계	4,057	3,960	2,903	987	1,916	1,739	1,154	1,234	97
2005	용산구	5월	남자	2,106	2,034	1,499	523	976	885	607	626	72
2005	용산구	5월	여자	1,951	1,926	1,404	464	940	854	547	608	25
2005	용산구	6월	합계	3,760	3,977	2,719	983	1,736	1,793	1,041	1,201	-217
2005	용산구	6월	남자	1,918	2,050	1,390	504	886	927	528	619	-132
2005	용산구	6월	여자	1,842	1,927	1,329	479	850	866	513	582	-85
2005	용산구	7월	합계	3,424	3,379	2,382	795	1,587	1,535	1,042	1,049	45
2005	용산구	7월	남자	1,694	1,686	1,191	404	787	760	503	522	8
2005	용산구	7월	여자	1,730	1,693	1,191	391	800	775	539	527	37
2005	용산구	8월	합계	4,012	4,124	2,865	924	1,941	1,909	1,147	1,291	-112
2005	용산구	8월	남자	1,984	2,082	1,406	448	958	951	578	683	-98
2005	용산구	8월	여자	2,028	2,042	1,459	476	983	958	569	608	-14
2005	용산구	9월	합계	3,757	3,841	2,559	903	1,656	1,810	1,198	1,128	-84
2005	용산구	9월	남자	1,874	1,918	1,280	441	839	916	594	561	-44
2005	용산구	9월	여자	1,883	1,923	1,279	462	817	894	604	567	-40
2005	용산구	10월	합계	3,860	3,849	2,800	973	1,827	1,774	1,060	1,102	11
2005	용산구	10월	남자	1,950	1,966	1,408	505	903	893	542	568	-16
2005	용산구	10월	여자	1,910	1,883	1,392	468	924	881	518	534	27
2005	용산구	11월	합계	3,754	3,722	2,613	963	1,650	1,678	1,141	1,081	32
2005	용산구	11월	남자	1,819	1,848	1,264	448	816	858	555	542	-29
2005	용산구	11월	여자	1,935	1,874	1,349	515	834	820	586	539	61
2005	용산구	12월	합계	4,013	3,683	2,733	831	1,902	1,640	1,280	1,212	330
2005	용산구	12월	남자	1,948	1,790	1,325	397	928	803	623	590	158
2005	용산구	12월	여자	2,065	1,893	1,408	434	974	837	657	622	172
2005	성동구	합계	합계	61,936	65,219	44,395	16,413	27,982	29,774	17,541	19,032	-3,283
2005	성동구	합계	남자	30,806	32,910	21,915	7,996	13,919	15,024	8,891	9,890	-2,104
2005	성동구	합계	여자	31,130	32,309	22,480	8,417	14,063	14,750	8,650	9,142	-1,179
2005	성동구	1월	합계	4,202	3,954	2,833	885	1,948	1,814	1,369	1,255	248
2005	성동구	1월	남자	2,097	2,011	1,419	442	977	925	678	644	86
2005	성동구	1월	여자	2,105	1,943	1,414	443	971	889	691	611	162
