연번,시도,시군구,읍면동,우편번호,주    소
207,경상남도,창녕군,창녕읍행정복지센터,50328,경상남도 창녕군 창녕읍 종로 38-9
208,경상남도,창녕군,남지읍행정복지센터,50329,경상남도 창녕군 남지읍 낙동로 483
209,경상남도,창녕군,고암면사무소,50315,경상남도 창녕군 고암면 고암성산대로 8
210,경상남도,창녕군,성산면사무소,50313,경상남도 창녕군 성산면 이천길 6
211,경상남도,창녕군,대합면사무소,50311,경상남도 창녕군 대합면 도장골길 5
212,경상남도,창녕군,이방면사무소,50301,경상남도 창녕군 이방면 이방로 639
213,경상남도,창녕군,유어면사무소,50305,경상남도 창녕군 유어면 우포1대로 583
214,경상남도,창녕군,대지면사무소,50316,경상남도 창녕군 대지면 우포2로 975
215,경상남도,창녕군,계성면사무소,50340,경상남도 창녕군 장마면 영산계성로 256
216,경상남도,창녕군,영산면사무소,50347,경상남도 창녕군 영산면 로터리길 15
217,경상남도,창녕군,장마면사무소,50341,경상남도 창녕군 장마면 강리길 23
218,경상남도,창녕군,도천면사무소,50349,경상남도 창녕군 도천면 도천3길 5
219,경상남도,창녕군,길곡면사무소,50363,경상남도 창녕군 길곡면 증산2길 19
220,경상남도,창녕군,부곡면사무소,50365,경상남도 창녕군 부곡면 부곡로 65
221,경상남도,고성군,고성읍행정복지센터,52936,경상남도 고성군 고성읍 송학로 93
222,경상남도,고성군,삼산면사무소,52959,경상남도 고성군 삼산면 공룡로 2137
223,경상남도,고성군,하일면사무소,52956,경상남도 고성군 하일면 공룡로 979
224,경상남도,고성군,하이면사무소,52961,경상남도 고성군 하이면 공룡로 1
225,경상남도,고성군,상리면사무소,52951,경상남도 고성군 상리면 척번정길 105
226,경상남도,고성군,대가면사무소,52928,경상남도 고성군 대가면 대가로 471
227,경상남도,고성군,영현면사무소,52906,경상남도 고성군 영현면 대가로 1681
228,경상남도,고성군,영오면사무소,52901,경상남도 고성군 영오면 영산1길 7
229,경상남도,고성군,개천면사무소,52904,경상남도 고성군 개천면 옥천로 1278
230,경상남도,고성군,구만면사무소,52908,경상남도 고성군 구만면 영회로 1765
231,경상남도,고성군,회화면사무소,52915,경상남도 고성군 회화면 배둔로 80
232,경상남도,고성군,마암면사무소,52911,경상남도 고성군 마암면 옥천로 247
233,경상남도,고성군,동해면사무소,52918,경상남도 고성군 동해면 장기3길 100
234,경상남도,고성군,거류면사무소,52925,경상남도 고성군 거류면 당동3길 5
235,경상남도,남해군,남해읍사무소,52420,경상남도 남해군 남해읍 남해읍 화전로 81　
236,경상남도,남해군,이동면사무소,52431,경상남도 남해군 이동면 무림로 76　
237,경상남도,남해군,상주면사무소,52440,경상남도 남해군 상주면 남해대로 705
238,경상남도,남해군,삼동면사무소,52444,경상남도 남해군 삼동면 동부대로1876번길 12
239,경상남도,남해군,미조면사무소,52442,경상남도 남해군 미조면 미송로 60　
240,경상남도,남해군,남면사무소,52437,경상남도 남해군 남면 남서대로 778
241,경상남도,남해군,서면사무소,52410,경상남도 남해군 서면 스포츠로 676
242,경상남도,남해군,고현면사무소,52404,경상남도 남해군 고현면 탑동로 42
243,경상남도,남해군,설천면사무소,52401,경상남도 남해군 설천면 설천로 695　
244,경상남도,남해군,창선면사무소,52453,경상남도 남해군 창선면 창선로97번길 6　　
245,경상남도,하동군,하동읍사무소,52326,경상남도 하동군 하동읍 중앙로 70
246,경상남도,하동군,화개면사무소,52303,경상남도 하동군 화개면 원탑1길 6
247,경상남도,하동군,악양면사무소,52305,경상남도 하동군 악양면 악양서로 357
248,경상남도,하동군,적량면사무소,52321,경상남도 하동군 적량면 대티길 9
249,경상남도,하동군,횡천면사무소,52319,경상남도 하동군 횡천면 경서대로 1175-3
250,경상남도,하동군,고전면사무소,52340,경상남도 하동군 고전면 하동읍성로 349
251,경상남도,하동군,금남면사무소,52352,경상남도 하동군 금남면 미법마을길 10
252,경상남도,하동군,금성면사무소,52353,경상남도 하동군 금성면 신도길 149
253,경상남도,하동군,진교면사무소,52345,경상남도 하동군 진교면 민다리안길 62
254,경상남도,하동군,양보면사무소,52336,경상남도 하동군 양보면 진양로 736
255,경상남도,하동군,북천면사무소,52318,경상남도 하동군 북천면 경서대로 2451
256,경상남도,하동군,청암면사무소,52310,경상남도 하동군 청암면 청학로 672
257,경상남도,하동군,옥종면사무소,52313,경상남도 하동군 옥종면 덕천로 3
258,경상남도,산청군,산청읍행정복지센터,52224,경상남도 산청군 산청읍 산엔청로 42
259,경상남도,산청군,차황면사무소,52208,경상남도 산청군 차황면 친환경로 3581
260,경상남도,산청군,오부면사무소,52205,경상남도 산청군 오부면 산수로 541
261,경상남도,산청군,생초면사무소,52203,경상남도 산청군 생초면 생초로 58
262,경상남도,산청군,금서면사무소,52215,경상남도 산청군 금서면 친환경로 2536
263,경상남도,산청군,삼장면사무소,52235,경상남도 산청군 삼장면 덕산대포로 257
264,경상남도,산청군,시천면사무소,52234,경상남도 산청군 시천면 남명2길 21
265,경상남도,산청군,단성면사무소,52251,경상남도 산청군 단성면 목화로 985
266,경상남도,산청군,신안면사무소,52249,경상남도 산청군 신안면 원지로 9
