,종가,오픈,고가,저가,거래량,변동 %,거래대금
2012년 02월 29일,"2,030.25","2,015.38","2,033.63","2,015.38",562.64M,1.33%,1142299.86K
2012년 02월 28일,"2,003.69","1,995.93","2,006.26","1,992.66",607.93M,0.63%,1218103.262K
2012년 02월 27일,"1,991.16","2,013.61","2,013.69","1,987.74",636.01M,-1.42%,1266397.672K
2012년 02월 24일,"2,019.89","2,010.60","2,019.90","1,998.39",717.91M,0.60%,1450099.23K
2012년 02월 23일,"2,007.80","2,016.46","2,016.46","2,001.25",690.12M,-1.03%,1385622.936K
2012년 02월 22일,"2,028.65","2,018.07","2,028.93","2,015.30",883.74M,0.22%,1792799.151K
2012년 02월 21일,"2,024.24","2,022.05","2,030.46","2,007.46",709.02M,-0.03%,1435226.645K
2012년 02월 20일,"2,024.90","2,041.51","2,047.43","2,024.59",733.92M,0.07%,1486114.608K
2012년 02월 17일,"2,023.47","2,025.56","2,031.40","2,019.79",731.09M,1.30%,1479338.682K
2012년 02월 16일,"1,997.45","2,005.37","2,012.44","1,995.99",696.69M,-1.38%,1391603.441K
2012년 02월 15일,"2,025.32","2,012.00","2,026.75","2,009.68",681.47M,1.13%,1380194.82K
2012년 02월 14일,"2,002.64","1,999.53","2,008.65","1,995.60",515.88M,-0.15%,1033121.923K
2012년 02월 13일,"2,005.74","2,000.66","2,010.66","1,991.28",452.79M,0.60%,908179.0146K
2012년 02월 10일,"1,993.71","2,010.04","2,011.52","1,986.96",696.74M,-1.04%,1389097.505K
2012년 02월 09일,"2,014.62","1,998.20","2,014.62","1,978.51",557.64M,0.54%,1123432.697K
2012년 02월 08일,"2,003.73","1,985.21","2,003.73","1,982.99",587.91M,1.12%,1178012.904K
2012년 02월 07일,"1,981.59","1,976.77","1,983.82","1,971.33",539.41M,0.43%,1068889.462K
2012년 02월 06일,"1,973.13","1,994.21","1,996.05","1,964.77",523.22M,0.04%,1032381.079K
2012년 02월 03일,"1,972.34","1,982.24","1,982.62","1,961.95",535.88M,-0.60%,1056937.559K
2012년 02월 02일,"1,984.30","1,982.23","1,993.88","1,977.32",641.05M,1.28%,1272035.515K
2012년 02월 01일,"1,959.24","1,948.57","1,969.80","1,947.46",501.06M,0.18%,981696.7944K
2012년 01월 31일,"1,955.79","1,943.25","1,960.44","1,936.68",469.19M,0.79%,917637.1101K
2012년 01월 30일,"1,940.55","1,956.63","1,961.60","1,936.14",411.70M,-1.24%,798924.435K
2012년 01월 27일,"1,964.83","1,960.70","1,966.20","1,949.46",448.92M,0.39%,882051.4836K
2012년 01월 26일,"1,957.18","1,959.19","1,962.71","1,949.51",408.02M,0.25%,798568.5836K
2012년 01월 25일,"1,952.23","1,947.74","1,973.35","1,945.14",375.93M,0.12%,733901.8239K
2012년 01월 20일,"1,949.89","1,922.13","1,952.09","1,922.13",404.78M,1.82%,789276.4742K
2012년 01월 19일,"1,914.97","1,912.43","1,914.98","1,902.02",374.37M,1.19%,716907.3189K
2012년 01월 18일,"1,892.39","1,891.17","1,898.70","1,884.33",428.00M,-0.02%,809942.92K
2012년 01월 17일,"1,892.74","1,878.16","1,892.76","1,878.16",431.99M,1.80%,817644.7526K
2012년 01월 16일,"1,859.27","1,860.77","1,863.32","1,843.86",391.92M,-0.87%,728685.0984K
2012년 01월 13일,"1,875.68","1,865.72","1,881.84","1,861.53",475.03M,0.60%,891004.2704K
2012년 01월 12일,"1,864.57","1,853.10","1,864.57","1,837.96",476.34M,1.03%,888169.2738K
2012년 01월 11일,"1,845.55","1,857.54","1,857.82","1,843.12",447.96M,-0.41%,826732.578K
2012년 01월 10일,"1,853.22","1,841.13","1,859.55","1,840.47",388.64M,1.46%,720235.4208K
2012년 01월 09일,"1,826.49","1,832.04","1,832.04","1,810.48",395.51M,-0.90%,722395.0599K
2012년 01월 06일,"1,843.14","1,867.12","1,867.12","1,824.29",472.68M,-1.11%,871215.4152K
2012년 01월 05일,"1,863.74","1,869.42","1,875.97","1,860.57",533.77M,-0.13%,994808.4998K
2012년 01월 04일,"1,866.22","1,883.48","1,884.69","1,866.22",494.50M,-0.49%,922845.79K
2012년 01월 03일,"1,875.41","1,846.56","1,875.41","1,846.56",443.47M,2.69%,831688.0727K
2012년 01월 02일,"1,826.37","1,831.69","1,837.81","1,814.55",323.36M,0.03%,590575.0032K
2011년 12월 29일,"1,825.74","1,815.63","1,835.19","1,806.88",344.65M,0.03%,629241.291K
2011년 12월 28일,"1,825.12","1,833.26","1,833.26","1,817.97",378.66M,-0.92%,691099.9392K
2011년 12월 27일,"1,842.02","1,856.78","1,864.71","1,813.48",529.92M,-0.79%,976123.2384K
2011년 12월 26일,"1,856.70","1,873.07","1,873.79","1,851.99",434.74M,-0.56%,807181.758K
2011년 12월 23일,"1,867.22","1,861.07","1,872.31","1,859.40",466.33M,1.07%,870740.7026K
2011년 12월 22일,"1,847.49","1,841.23","1,847.49","1,835.91",406.42M,-0.05%,750856.8858K
2011년 12월 21일,"1,848.41","1,837.99","1,850.67","1,831.26",516.91M,3.09%,955461.6131K
